timepoint,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R
0,0.007007236,-0.005313848,0.079169676,0.09190092,0.087915204,-0.0073692803,0.19500157,0.21289024,0.14394334,0.07366879,-0.021078989,0.18835965,-0.043500006,0.04937891,0.00023315528,-0.15115927,-0.041882485,-0.10534008,0.13021404,0.025606925,-0.030336257,-0.010795758,0.13096662,-0.046289388,-0.12492178,-0.049448315,-0.05422605,-0.003011817,-0.015401719,-0.051278815,0.12809421,0.1268458,0.09840665,0.07217836,0.102702886,0.036015842,-0.00905981,0.062602624,-0.00022665018,0.06834386,-0.15351187,-0.08568403,0.23938175,0.17402957,0.048432257,0.045625307,0.20270333,0.14936905,-0.09326064,-0.04591676,0.052141283,0.25695264,0.062584996,0.019019369,-0.0076397294,0.026021957,0.036356214,0.029990062,0.26100558,0.20453031,0.20796344,0.3232332,0.115072004,0.08774698,-0.061312165,0.14461683,0.32922772,0.17706311,-0.05583771,-0.14048658,0.08060128,0.032823965,0.03345246,0.014874569,0.029512292,0.12640293,0.018491177,0.03358549,0.013640158,0.03712512,0.06430292,-0.030853871,-0.008298506,-0.14489625,-0.022862948,0.03830521,-0.030599108,-0.04011542,0.0058124484,0.06764291
1,0.022901915,0.0009926704,0.05393784,0.11127396,0.092817016,0.006158319,0.16033055,0.20877366,0.11414322,0.08772271,-0.0858957,0.18520027,-0.09318381,0.01423677,-0.007171595,-0.124038726,-0.0300603,-0.10829106,0.09601481,0.023706159,-0.009362614,0.01537688,0.12959068,-0.025075905,-0.09420489,-0.031415775,-0.049864188,-0.019470721,-0.025676312,-0.07677861,0.11545367,0.1226381,0.08351206,0.07488962,0.087362126,0.037107665,-0.0055489745,0.043743573,2.9224177e-05,0.057033725,-0.14907873,-0.084728144,0.218555,0.14649028,0.03845598,0.030618506,0.18538101,0.12067244,-0.03156158,-0.0031155534,0.064635254,0.20233794,0.06459536,0.005616597,-0.011850712,0.022976995,0.06511516,0.040903825,0.22243747,0.17447613,0.18602481,0.3330622,0.05376056,0.016843153,-0.02918537,0.16786791,0.24184847,0.13243644,-0.01119197,-0.117564216,0.06286695,0.03492116,0.034189824,0.01790862,0.003129571,0.10134477,0.019133514,0.037628487,-0.0013202928,0.0208301,0.035104997,-0.0573158,-0.029643575,-0.17347182,-0.030579995,0.03326778,-0.04952078,-0.05102938,-0.0016743245,0.084540844
2,0.03386191,0.0015355716,0.027447173,0.12304029,0.088645376,0.016831528,0.11263749,0.19305195,0.07500162,0.097987525,-0.14013767,0.16153383,-0.1366892,-0.024593651,-0.016424673,-0.08509069,-0.021711182,-0.104980275,0.06157916,0.017000755,0.009843128,0.037039336,0.11664474,-0.00325049,-0.05270977,-0.0051085954,-0.03735136,-0.031810526,-0.032308675,-0.09476262,0.09844862,0.11079202,0.06460698,0.07545753,0.071117446,0.037243597,-0.0016163904,0.024615329,-0.0032492059,0.042317495,-0.13246356,-0.07609378,0.18581182,0.107865185,0.02931895,0.014395516,0.15482607,0.08757751,0.032865927,0.03717023,0.076671086,0.14261845,0.062678784,0.003941988,-0.010834883,0.020596726,0.08825932,0.04473954,0.17009676,0.13418403,0.1461553,0.32230324,-0.0066783093,-0.053858154,0.0033252323,0.1880275,0.14718466,0.08713345,0.032558277,-0.09294979,0.04390466,0.03746151,0.033017945,0.022330182,-0.012149273,0.06862271,0.021032216,0.043220412,-0.017657451,0.0006454627,0.0016905109,-0.07832035,-0.049778074,-0.1839604,-0.034837898,0.028689075,-0.063740805,-0.05741017,-0.008535692,0.09684414
3,0.038958643,-0.0054471013,0.0024227742,0.12410948,0.07446164,0.023734596,0.05561959,0.16500081,0.02968967,0.10211755,-0.17721778,0.11890795,-0.16967878,-0.062288728,-0.028972086,-0.040311027,-0.016800746,-0.09589815,0.02993513,0.0059370208,0.02292857,0.051426917,0.091647394,0.01738949,-0.0071968613,0.02609933,-0.018910542,-0.03789705,-0.034881063,-0.104026124,0.07670493,0.09074288,0.042064313,0.07228847,0.055005264,0.035381023,0.0016806743,0.006448244,-0.010152094,0.025596412,-0.10568014,-0.06212248,0.14366183,0.06337176,0.023020733,-0.0012660712,0.112443134,0.052866034,0.08970288,0.06893559,0.08503845,0.081772394,0.05480591,0.011336487,-0.0063653425,0.018939646,0.10226834,0.039315272,0.10848676,0.08553696,0.090606086,0.28728983,-0.060636,-0.11962002,0.031257678,0.19824131,0.054918043,0.04621105,0.06992812,-0.06769666,0.025781827,0.039818816,0.030454589,0.025668478,-0.0143962,0.030355174,0.022806708,0.050026488,-0.03348178,-0.02094731,-0.034214035,-0.093703575,-0.06675375,-0.17494337,-0.03559545,0.023344614,-0.07122595,-0.05864815,-0.014860779,0.102076575
4,0.038183134,-0.02035563,-0.018659389,0.11268266,0.050826944,0.026908848,-0.005598409,0.12545311,-0.017639693,0.09875626,-0.19251926,0.061620492,-0.18846379,-0.094036624,-0.04503972,0.0040689306,-0.015005147,-0.082584515,0.0030418376,-0.008477064,0.026505051,0.056903798,0.055915587,0.035458494,0.035120543,0.05770585,0.002388536,-0.036561403,-0.03366286,-0.10481061,0.04990714,0.0626325,0.016461642,0.06387195,0.039685223,0.030699933,0.0033340666,-0.010005812,-0.019875275,0.008394435,-0.07214465,-0.04541697,0.09526209,0.018757403,0.020775432,-0.015163392,0.060802724,0.018980581,0.12991609,0.087881036,0.08703031,0.023823135,0.039919335,0.023699202,-0.0008458349,0.017957026,0.1042914,0.02359552,0.043156434,0.031475104,0.024473272,0.22730026,-0.103423685,-0.17597644,0.051032774,0.19286828,-0.026381945,0.013421661,0.09625667,-0.04252492,0.009957789,0.04101575,0.027203074,0.02530516,-0.004348588,-0.010860142,0.02284825,0.05719388,-0.047254335,-0.041599248,-0.070746094,-0.10418423,-0.0790876,-0.1478592,-0.03316266,0.016133877,-0.07083486,-0.054631013,-0.020796342,0.09865073
5,0.03233608,-0.04206259,-0.033984505,0.08853211,0.019734027,0.02720123,-0.065188505,0.076641545,-0.062386345,0.08762938,-0.18410909,-0.0040050773,-0.19052613,-0.11592434,-0.06359207,0.04226557,-0.015728764,-0.06722117,-0.018421466,-0.024772398,0.01886336,0.05319269,0.012320258,0.049820296,0.06760553,0.08461361,0.023037266,-0.02789087,-0.029467748,-0.098646514,0.018040037,0.027448548,-0.011503498,0.049161676,0.025287433,0.022787074,0.002620442,-0.024497233,-0.030939722,-0.007875148,-0.036044948,-0.028452763,0.044353347,-0.020377515,0.023092873,-0.026532782,0.0036049879,-0.012038061,0.14760205,0.09226403,0.08118359,-0.027250402,0.018378071,0.03649992,0.003259122,0.017545871,0.09274392,-0.001940287,-0.019746698,-0.024056993,-0.04507851,0.14472146,-0.13167629,-0.21912712,0.060802113,0.16830407,-0.09027071,-0.009199406,0.1082265,-0.017984945,-0.0028168277,0.039859533,0.02403072,0.018868357,0.014763668,-0.052261088,0.019683816,0.06348663,-0.057856288,-0.05939844,-0.10584001,-0.11111875,-0.08586376,-0.10680499,-0.028141221,0.006257322,-0.06253241,-0.04585609,-0.026465064,0.08606963
6,0.02298917,-0.06782364,-0.04253061,0.05314985,-0.015524278,0.026105745,-0.11720229,0.022229854,-0.100049354,0.06965676,-0.15281294,-0.07038742,-0.17470127,-0.12537454,-0.082272366,0.06984165,-0.018251905,-0.052223768,-0.034799516,-0.041108217,0.0003900167,0.041471295,-0.03482076,0.059648614,0.085354134,0.10210255,0.039756868,-0.013159686,-0.0234877,-0.0879766,-0.01835665,-0.0130238095,-0.04079904,0.02790836,0.011541223,0.011657962,-0.0007400254,-0.037143517,-0.04132032,-0.021978736,-0.0017554917,-0.013081454,-0.0049421727,-0.049294155,0.029751848,-0.03503253,-0.05450199,-0.038525604,0.14113384,0.0833463,0.06765971,-0.0677713,-0.0078694215,0.045877878,0.0040165135,0.017616514,0.06771742,-0.035176616,-0.074323066,-0.07648855,-0.10961121,0.0453783,-0.14367841,-0.24621081,0.060923968,0.12387646,-0.1331501,-0.021641407,0.10448737,0.005572959,-0.012497998,0.035268337,0.02161647,0.004820579,0.037926078,-0.091162734,0.012351614,0.06748428,-0.06471412,-0.07301449,-0.13724728,-0.11597334,-0.08684453,-0.057821836,-0.021239461,-0.006537533,-0.047355864,-0.033340856,-0.031834077,0.06500755
7,0.012189072,-0.09359499,-0.044325653,0.0095493095,-0.05088596,0.025417896,-0.15647516,-0.033179786,-0.12683669,0.04678658,-0.102252774,-0.12985766,-0.14144753,-0.121482685,-0.09787904,0.08421834,-0.021718664,-0.03969571,-0.047130574,-0.055449884,-0.02635035,0.024102233,-0.080495045,0.06433576,0.08578858,0.106531404,0.049925867,0.005327013,-0.01701697,-0.07559581,-0.058052946,-0.056250177,-0.07010632,0.00083032827,-0.0021532497,-0.002171624,-0.006524517,-0.04834503,-0.0488957,-0.032965124,0.026904427,-0.0004052586,-0.048538763,-0.06480607,0.040028907,-0.040446497,-0.10840016,-0.059220757,0.11358651,0.06522142,0.048299186,-0.09487236,-0.03531944,0.04963188,0.0004249475,0.018113147,0.03131607,-0.07246999,-0.11565145,-0.12110758,-0.16076523,-0.062103163,-0.13946609,-0.25570163,0.05364489,0.062048756,-0.15452887,-0.02569385,0.085856766,0.027883714,-0.01960786,0.026480278,0.020425417,-0.017264822,0.059275273,-0.12508461,0.00070066465,0.06786309,-0.06773805,-0.08178129,-0.1626011,-0.11989403,-0.082404226,-0.007903858,-0.013112381,-0.02180159,-0.027339345,-0.018540613,-0.036691137,0.037232537
8,0.002089532,-0.1146141,-0.040382344,-0.038068533,-0.08212789,0.026778303,-0.17926678,-0.08454436,-0.1402699,0.02161474,-0.038338665,-0.17581245,-0.09294247,-0.1050544,-0.10703058,0.08480123,-0.025288535,-0.030951593,-0.056728646,-0.06581911,-0.056966357,0.0042736004,-0.11963704,0.06350374,0.06903542,0.09604635,0.052013416,0.024585582,-0.011241003,-0.06403253,-0.098981746,-0.09908946,-0.09767836,-0.030271752,-0.016363667,-0.017667407,-0.01397824,-0.058468025,-0.05177284,-0.040234942,0.04723675,0.009338108,-0.08257525,-0.06554173,0.05298308,-0.042474207,-0.15289122,-0.073072664,0.07232665,0.044047493,0.02643508,-0.10663243,-0.05937426,0.047814816,-0.007241989,0.019066172,-0.012569616,-0.109135196,-0.14042024,-0.15361546,-0.19169888,-0.16719317,-0.12077717,-0.24745451,0.04243496,-0.0118549485,-0.15669116,-0.024397835,0.055046264,0.04857278,-0.024969414,0.013357153,0.02058219,-0.04641374,0.073142275,-0.15196097,-0.0144764315,0.063647114,-0.06721917,-0.08559946,-0.17951527,-0.123249635,-0.073423475,0.036222465,-0.004287234,-0.038390204,-0.005202522,-0.0031143485,-0.04062224,0.0053516505
9,-0.005260879,-0.12612747,-0.032421373,-0.084865935,-0.10546242,0.031265594,-0.18370391,-0.1272134,-0.13946962,-0.0032009745,0.031556837,-0.20370582,-0.032791257,-0.07833742,-0.10676147,0.07292397,-0.028104745,-0.026265645,-0.06466809,-0.07049608,-0.08584177,-0.014507122,-0.14785002,0.05715217,0.037976097,0.07113907,0.045813527,0.041525662,-0.006985438,-0.05507783,-0.1383715,-0.13803443,-0.12144686,-0.06270447,-0.03136091,-0.033454746,-0.021885213,-0.06770668,-0.048631817,-0.0434764,0.05813715,0.016595677,-0.103835426,-0.052021116,0.06777903,-0.04047602,-0.18331401,-0.07923874,0.027816651,0.027010962,0.0064062793,-0.10253257,-0.074976,0.0427036,-0.017405223,0.020635655,-0.05854233,-0.14001952,-0.14731114,-0.17083709,-0.19801609,-0.25912532,-0.09075847,-0.22297053,0.031559493,-0.090298414,-0.14400636,-0.021357175,0.016453253,0.06723961,-0.029456181,-0.0035123096,0.021856098,-0.080390096,0.07516663,-0.17018867,-0.03140517,0.054424603,-0.06368101,-0.08474906,-0.18583544,-0.12548862,-0.061031118,0.0692488,0.0050669843,-0.05441529,0.016054973,0.0113511495,-0.0429997,-0.02752764
