timepoint,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R
0,0.1456323,0.090134524,0.105159655,0.06811837,0.05568176,0.020015854,0.1606391,0.13177009,-0.015673652,0.036328476,0.0413592,-0.061184306,0.07223188,-0.062236127,-0.014259533,0.043545876,0.045169745,0.104318984,0.12854373,0.01643345,0.15599456,0.023643315,0.18612309,0.07146374,0.16507499,0.07767876,0.04976573,-0.036186125,-0.039146487,0.0033362645,-5.473686e-05,0.042464823,-0.036944978,-0.008210899,0.1896462,-0.009843406,0.094448954,0.070137054,0.018957917,0.023768565,0.046366856,-0.12267012,0.067297734,-0.018815588,0.0810414,0.0029427283,0.17406975,0.23522928,0.180296,0.12519096,0.3048643,0.25241324,0.17514028,0.31028476,0.15016161,0.11699934,0.1902394,0.1669567,-0.030391162,0.08782785,0.2831019,0.17107299,-0.19552045,-0.13499087,0.46748143,0.29169357,0.12961546,0.07928095,0.094814114,0.098961346,0.027656978,-0.030676698,0.022481328,0.037262578,0.0077073695,0.043736216,0.057835627,0.0042857914,0.14049836,0.0042651836,0.12557435,0.08420006,-0.0026309774,0.019165816,0.1650837,0.15612847,0.038882352,0.07135115,0.07882953,0.14729191
1,0.12706015,0.043931197,0.116691016,0.073970735,0.0638617,0.01869831,0.17379522,0.15391387,0.0270445,0.06298439,0.055864435,-0.034914773,0.093483485,-0.03591991,-0.002782062,0.054649167,0.048515078,0.108944654,0.13252768,0.00086039334,0.12773879,-0.00060143275,0.19392365,0.073185116,0.1454646,0.07765003,0.05189651,-0.029334381,-0.038566016,0.009998262,-0.0028494443,0.04885878,-0.023459496,-0.013115453,0.21242364,0.0032539926,0.09264432,0.06395454,0.02364652,0.050832864,0.036103066,-0.111456975,0.09456283,0.0011325349,0.09701546,-0.0055747614,0.16755186,0.2141836,0.17172049,0.11950343,0.28545657,0.2612387,0.13142782,0.25007296,0.14853671,0.116453394,0.16595076,0.12775168,-0.054324776,0.09862884,0.27787247,0.22019698,-0.16201031,-0.090333186,0.46630043,0.3302342,0.13224924,0.073575035,0.047830075,0.05141669,0.04192227,-0.01690246,0.028288543,0.043310102,0.0032900618,0.06450474,0.057988387,0.009125018,0.12215884,-0.012467628,0.11497366,0.077608764,0.012389188,0.013001446,0.17765173,0.17114344,0.040895287,0.058124274,0.09586018,0.14472847
2,0.10357595,0.0028085622,0.12203833,0.07759331,0.06687388,0.019367628,0.17070901,0.16104795,0.06061382,0.08249785,0.057532605,-0.010170736,0.09846023,-0.012105854,0.0029274772,0.054889623,0.04959982,0.10206305,0.13028899,-0.008832384,0.09088879,-0.022499748,0.17857243,0.06874983,0.11290734,0.069710754,0.046925016,-0.0176659,-0.03423273,0.014033614,-0.0044786343,0.048895396,-0.0055021746,-0.0159883,0.2140785,0.016735392,0.079902664,0.05341437,0.028394282,0.07160838,0.019321213,-0.09227788,0.113205925,0.022872377,0.10918097,-0.0056824405,0.15295376,0.18405415,0.15844636,0.10961937,0.25173938,0.25354865,0.08893335,0.18146567,0.13822697,0.11087315,0.13754828,0.085318364,-0.06484298,0.10411174,0.2478214,0.24436152,-0.11888947,-0.04450891,0.42201665,0.33228827,0.13355847,0.07103211,0.0146841705,0.01647968,0.04733908,-0.0068745497,0.031283803,0.042933647,0.0030181485,0.07298599,0.050630983,0.014115516,0.09064964,-0.023686407,0.0986636,0.06892989,0.027799333,0.0030464714,0.17851673,0.17292169,0.04078058,0.03998443,0.10178041,0.13212335
3,0.075645015,-0.029746521,0.11893794,0.07724915,0.06359685,0.022054065,0.14917843,0.15051052,0.08061003,0.092060454,0.04774954,0.010627599,0.08646238,0.0075989687,0.0035159152,0.045663945,0.04732949,0.08320547,0.12060676,-0.011814273,0.050114315,-0.038842823,0.14115112,0.058557495,0.07173324,0.05461095,0.03580064,-0.0030854722,-0.026855469,0.014560481,-0.0038255388,0.04339875,0.013639258,-0.01633592,0.19360727,0.02739382,0.057404716,0.039422538,0.0325543,0.08308449,-0.0015268481,-0.0678978,0.121654116,0.04439223,0.11595315,0.0030924377,0.13063325,0.14666784,0.14026041,0.09704636,0.20555927,0.2281812,0.051081054,0.10925446,0.119025454,0.099666536,0.1051221,0.042860698,-0.06119353,0.10364242,0.19338182,0.23697823,-0.07055928,-0.0020352902,0.3352491,0.2930685,0.13288978,0.07119238,-0.0045170817,-0.0026283364,0.043431945,-0.0011680622,0.031351488,0.036899958,0.0066385684,0.067598164,0.036613822,0.01913065,0.04905895,-0.029686233,0.07730832,0.058583647,0.041294426,-0.008401179,0.16518158,0.15912937,0.039105922,0.020311063,0.0949634,0.10972991
4,0.043906633,-0.05205038,0.105980635,0.07140654,0.053698868,0.02622673,0.10943526,0.12187579,0.08476214,0.09018616,0.029392138,0.02573541,0.059068233,0.02206755,0.00042728835,0.029587103,0.04098853,0.053555712,0.102885745,-0.008580244,0.010287205,-0.04757773,0.085673176,0.043567482,0.027213268,0.03388949,0.020416036,0.01217877,-0.01754648,0.010934949,-0.00052292284,0.033879552,0.030468464,-0.014021273,0.15268312,0.032454234,0.027617073,0.023247752,0.035208423,0.08361813,-0.022868639,-0.041397627,0.11937679,0.063689396,0.1160194,0.019620977,0.10144013,0.10425854,0.116613016,0.0829033,0.14960358,0.18556733,0.019801293,0.03788213,0.09138452,0.082496606,0.06848325,0.0025083686,-0.045513332,0.09639908,0.117866024,0.195641,-0.0219271,0.033272814,0.21217158,0.21366228,0.12901787,0.072484165,-0.012173949,-0.0055364436,0.031079877,0.0003196653,0.028689591,0.026656784,0.013022071,0.049014494,0.017887365,0.02419582,0.0015388686,-0.03205963,0.051699474,0.046614144,0.05055581,-0.01894323,0.13655055,0.129245,0.036371887,0.0024235102,0.07554803,0.07870055
5,0.009087291,-0.064472035,0.08275612,0.058868814,0.037668575,0.030924706,0.053902946,0.07689776,0.07321435,0.076763965,0.006135649,0.034101658,0.019733263,0.030663293,-0.004487906,0.009874285,0.030116923,0.0155882565,0.07704568,-0.00111827,-0.024092853,-0.047978528,0.018300438,0.025037492,-0.015248522,0.009658933,0.0031983494,0.026023822,-0.007720442,0.0026453251,0.0048016906,0.02216683,0.041594826,-0.009506895,0.09523473,0.029969107,-0.006244795,0.006232632,0.035341788,0.073153935,-0.040642362,-0.015693925,0.10656603,0.07873497,0.10813113,0.041004963,0.06648424,0.0590689,0.08652157,0.067394346,0.08688429,0.1274657,-0.0048038415,-0.029431084,0.056409687,0.05932554,0.027338272,-0.035031673,-0.022526957,0.0811761,0.026900781,0.122194275,0.021898124,0.05840617,0.06342269,0.10062248,0.12016676,0.07238392,-0.012870252,0.005082016,0.01216183,-0.0018803681,0.023832645,0.01411651,0.020272668,0.01983924,-0.0028659387,0.02939645,-0.047307726,-0.033328965,0.022660093,0.032634318,0.05355109,-0.026610075,0.09304769,0.0845838,0.03281687,-0.0110061765,0.045359053,0.040931385
6,-0.027837396,-0.069152705,0.050204832,0.039277107,0.016853042,0.03500693,-0.012835377,0.019598283,0.048577383,0.053299606,-0.01812282,0.035572145,-0.026584465,0.033339288,-0.009252095,-0.010059492,0.014799378,-0.0270969,0.043905936,0.007629805,-0.049490977,-0.040711585,-0.053236574,0.00459701,-0.050678663,-0.015438856,-0.013310183,0.036718454,0.0012235292,-0.010409555,0.010915236,0.010309664,0.0444302,-0.0036102273,0.027228855,0.01938774,-0.040532652,-0.010147898,0.032113675,0.05326415,-0.051001955,0.00688997,0.08438191,0.0879396,0.091542564,0.06310822,0.027301835,0.013358853,0.04916887,0.050159674,0.020766854,0.057311736,-0.024015965,-0.09048491,0.015964944,0.030701239,-0.01833548,-0.07015609,0.0016098432,0.057121553,-0.071804956,0.023226814,0.05629819,0.071651705,-0.0968718,-0.034322444,0.104586914,0.068062305,-0.012221767,0.024132762,-0.010621583,-0.0068201167,0.017566077,0.0013646536,0.026160672,-0.015847776,-0.022534542,0.03479899,-0.09289774,-0.036212903,-0.008799605,0.016127635,0.049041253,-0.030088317,0.03686545,0.028476726,0.028451966,-0.018291488,0.007732055,-0.0009208693
7,-0.0657781,-0.069734775,0.010458529,0.01313558,-0.006697388,0.037466638,-0.08477241,-0.044353813,0.01551251,0.022678984,-0.04005541,0.030747576,-0.07429868,0.030588148,-0.012202767,-0.027170934,-0.004459582,-0.07039961,0.004995089,0.014106895,-0.0638369,-0.02755957,-0.12084732,-0.016053136,-0.07532436,-0.038669527,-0.026937898,0.0432429,0.008103527,-0.027912617,0.016134605,0.00020067737,0.037495732,0.0025016752,-0.044250894,0.0016142393,-0.07179235,-0.024528539,0.025052948,0.026877597,-0.051118236,0.024928274,0.05468971,0.090235665,0.06615328,0.08113626,-0.014316458,-0.030907119,0.004217762,0.03035278,-0.045456436,-0.020273963,-0.04022236,-0.14432238,-0.027484575,-0.002263179,-0.068175174,-0.10427243,0.020398863,0.023829423,-0.16953509,-0.090821855,0.07754306,0.072592504,-0.25307515,-0.17609799,0.08085766,0.056859456,-0.016045386,0.044803105,-0.034296513,-0.013440548,0.010772112,-0.009687435,0.02850533,-0.053324968,-0.03810684,0.04034473,-0.13137136,-0.04299706,-0.041500445,-0.0034010366,0.03674585,-0.029026099,-0.028282305,-0.034230176,0.02298488,-0.019046377,-0.033018615,-0.043811634
8,-0.103484936,-0.07048023,-0.033403166,-0.018107,-0.030560797,0.037596498,-0.15531394,-0.108322546,-0.020162115,-0.011317319,-0.0572989,0.02082211,-0.11786037,0.023378683,-0.012267324,-0.039274357,-0.026651049,-0.110223465,-0.037416853,0.014919889,-0.0667436,-0.011082273,-0.17720278,-0.03525426,-0.087056145,-0.05740831,-0.03623578,0.0452817,0.012133289,-0.049063593,0.018747054,-0.0066754324,0.020722467,0.0075558564,-0.111870825,-0.021071557,-0.09713,-0.035728887,0.01425345,-0.0021510506,-0.039707582,0.037992157,0.019962871,0.08526957,0.032656968,0.09055818,-0.056303058,-0.07203261,-0.047713574,0.007113071,-0.108622395,-0.09969929,-0.05614297,-0.19084382,-0.07093705,-0.037781622,-0.121069305,-0.13904712,0.028270265,-0.01813256,-0.25764397,-0.20705041,0.08319287,0.061978824,-0.390223,-0.3083899,0.04840068,0.0369624,-0.029078722,0.059856907,-0.05605564,-0.020754125,0.004304009,-0.017623149,0.025577921,-0.08794363,-0.047151286,0.045727406,-0.15990874,-0.054894984,-0.074026436,-0.026127636,0.017571012,-0.024003822,-0.09750917,-0.097682565,0.015999775,-0.014122334,-0.07220742,-0.08450738
9,-0.13952495,-0.07551215,-0.077563204,-0.05207286,-0.05218634,0.035281006,-0.21802369,-0.16548096,-0.05222792,-0.04438344,-0.068801835,0.0073632146,-0.15243514,0.013115136,-0.009109616,-0.045146342,-0.05040748,-0.14311992,-0.08049902,0.007467306,-0.059568502,0.00597504,-0.2165071,-0.051419318,-0.08547224,-0.069442265,-0.040635556,0.04331985,0.013033456,-0.072581865,0.017503018,-0.009365772,-0.0045416495,0.010360208,-0.16886,-0.045312416,-0.11458064,-0.042830445,0.0005085297,-0.0295953,-0.017491518,0.046593886,-0.016910855,0.07348325,-0.007287515,0.08779649,-0.09641652,-0.10862466,-0.10481845,-0.02002123,-0.16582753,-0.1749065,-0.07406425,-0.23041317,-0.11116291,-0.07351002,-0.17520647,-0.17593846,0.02165633,-0.067080714,-0.32848385,-0.311681,0.07244385,0.041585654,-0.4957097,-0.41581798,0.0077793077,0.007878399,-0.05415731,0.062910266,-0.07354292,-0.027913393,-0.00113092,-0.021631958,0.016523683,-0.1159187,-0.04814786,0.050463982,-0.17710936,-0.07178586,-0.10473091,-0.051658966,-0.006490331,-0.0163898,-0.1652043,-0.15569535,0.00706141,-0.0054481803,-0.10538428,-0.1199207
