timepoint,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R
0,0.033164054,0.07697445,0.08764887,-0.0071121855,0.050386693,0.06341334,0.10855173,0.07546965,0.10843896,0.050843634,0.12596403,0.068086274,0.156109,0.045540433,0.08116684,-0.060125247,0.02942109,0.15756014,0.12320951,0.095609814,0.06630132,0.06577916,0.12055217,-0.096686184,0.04496037,-0.02250564,-0.0016589552,0.040319253,0.10639934,0.17819613,0.041679334,0.021556407,0.066085994,0.013770703,0.006120547,-0.068109624,0.051001795,0.0030507033,0.014987681,0.01554122,-0.09578078,0.080134064,-0.06586694,-0.09468804,-0.12723985,-0.19365562,-0.04287971,-0.058001634,-0.20825936,-0.21821529,-0.22349133,-0.1697788,-0.13909878,-0.2557106,-0.06256351,-0.0027916436,0.036893077,0.0245964,-0.09378211,-0.05916269,0.1479994,0.082915135,0.077166446,0.15059532,0.00077037583,-0.09369568,0.039701074,0.008557629,0.016044581,-0.047755063,0.053228147,0.037669424,0.045480795,0.07796225,0.04827155,-0.0048200306,0.05355085,0.017893719,0.12489883,0.16741033,0.13978821,0.16973117,0.07362419,0.08025889,0.04458061,-0.045697886,0.0010608145,-0.08719815,0.03404453,-0.032004338
1,0.04662783,0.07951776,0.08866172,-0.006671659,0.04660603,0.05983795,0.13391647,0.13186829,0.108782634,0.053254947,0.14768349,0.12489685,0.19255967,0.08413552,0.10497895,-0.050669137,0.03253377,0.16342518,0.11834884,0.103081785,0.03076299,0.053820126,0.10631982,-0.10231611,0.023646062,-0.054362655,-0.0077593816,0.008174847,0.10816109,0.18577369,0.042393092,0.0031191804,0.064281605,0.041697677,-0.031042535,-0.098930255,0.03332318,-0.008010776,0.010344251,0.0063192616,-0.1069443,0.039234623,-0.049748156,-0.076915935,-0.15333925,-0.20731889,-0.054784898,-0.06293302,-0.22606549,-0.21416414,-0.19522355,-0.14744852,-0.14414914,-0.22492608,-0.06606687,-0.013374371,0.021980952,0.031551607,-0.03946314,-0.033112247,0.20734395,0.13255757,0.11043574,0.21484838,0.014207827,-0.02381461,0.034524214,0.0019593958,-0.023749763,-0.045789592,0.098023795,0.056593046,0.050595216,0.08350717,0.0668058,0.017407952,0.04501521,0.0105245905,0.11627683,0.14857285,0.13082819,0.15060267,0.050117027,0.068861924,0.04086037,-0.030229134,-0.00400554,-0.09821092,0.04812264,-0.011333153
2,0.05689636,0.076821245,0.08179425,-0.006785104,0.039801594,0.046780925,0.15273535,0.17483135,0.10075659,0.043564968,0.1610415,0.16686726,0.21130975,0.11858239,0.12239923,-0.036946163,0.034882713,0.15715969,0.105785795,0.10282718,-0.0071416125,0.033566378,0.07761451,-0.10587557,-0.0026858535,-0.08783627,-0.017455399,-0.028589541,0.10278113,0.18529037,0.036670133,-0.019263156,0.059573468,0.06669911,-0.07325409,-0.12701467,0.01588736,-0.019317804,0.008718516,-0.0017410106,-0.097014025,0.00064001314,-0.033353116,-0.0617199,-0.17009005,-0.2145428,-0.06577285,-0.065465316,-0.23170142,-0.1968867,-0.16211474,-0.12077449,-0.14006951,-0.18389013,-0.06550683,-0.026333751,0.007925936,0.035371937,0.012582828,-0.00997543,0.24591018,0.15717189,0.13861787,0.25864112,0.025163049,0.029862156,0.020641983,-0.013970917,-0.054297574,-0.03466246,0.12798539,0.06752856,0.053175278,0.07553413,0.076064266,0.03429399,0.033743314,0.006497385,0.10286166,0.12236574,0.11167263,0.11846734,0.020441653,0.05148628,0.03371329,-0.01651681,-0.008387229,-0.10092813,0.0556292,0.0073549855
3,0.062055167,0.06916718,0.0665801,-0.008356485,0.031376768,0.02339485,0.16077447,0.19542788,0.083501615,0.02251537,0.16387469,0.18612237,0.20879176,0.1441511,0.12959465,-0.021217361,0.03575418,0.13856049,0.08748273,0.095150456,-0.041158758,0.0089516705,0.037644915,-0.10780189,-0.031552836,-0.11956191,-0.030582935,-0.06604399,0.091754526,0.17687126,0.026141513,-0.041751247,0.051528882,0.08479923,-0.1180691,-0.15091562,0.00040786978,-0.03126148,0.0093191825,-0.0086671645,-0.07037087,-0.031741664,-0.017934266,-0.04967277,-0.17518859,-0.21315525,-0.07489268,-0.06641857,-0.22237207,-0.1660294,-0.12781893,-0.093235336,-0.1283146,-0.13995665,-0.0620381,-0.04071544,-0.0036813254,0.035099324,0.056997813,0.0079130605,0.25680056,0.15074015,0.15599309,0.27569407,0.027932942,0.055478696,-0.0023125168,-0.039023966,-0.073373914,-0.017197847,0.1384472,0.06762246,0.05294224,0.055460207,0.07373905,0.04536129,0.020955535,0.005961358,0.08296369,0.08946672,0.08272497,0.07520914,-0.011806149,0.030241016,0.022254525,-0.0069333175,-0.014571301,-0.096494794,0.054380782,0.020568639
4,0.06083487,0.057166256,0.043843422,-0.012053538,0.02288682,-0.009517973,0.1554546,0.18775836,0.057419065,-0.0073654684,0.15507057,0.17781347,0.18435584,0.15703006,0.123966195,-0.006287795,0.034627166,0.109171234,0.06614881,0.081353776,-0.06568481,-0.015385146,-0.008608603,-0.10869091,-0.060075123,-0.14645416,-0.046174172,-0.09960889,0.077331096,0.1612892,0.013464886,-0.0603828,0.040294927,0.093036905,-0.16246675,-0.16933723,-0.012128847,-0.04390568,0.010913289,-0.014912056,-0.033586033,-0.05574714,-0.0040707383,-0.039917316,-0.16722113,-0.20107776,-0.08107662,-0.06629493,-0.19662164,-0.122546226,-0.09545025,-0.06763529,-0.1109601,-0.09959282,-0.056827344,-0.05523512,-0.011825242,0.030297609,0.08970122,0.019267661,0.2369603,0.111723885,0.15800357,0.26333666,0.01797568,0.045688793,-0.033218246,-0.071510404,-0.08073964,0.0024207707,0.12800337,0.056045536,0.049942385,0.02652669,0.059579555,0.05107797,0.008115619,0.008485003,0.05483726,0.050981425,0.04557103,0.024159525,-0.04260321,0.00781557,0.006026979,-0.003301428,-0.024650278,-0.086909056,0.043502294,0.025611632
5,0.05277917,0.041616805,0.015632607,-0.01817057,0.01580073,-0.04945133,0.13631043,0.15007253,0.024304371,-0.04216733,0.13461001,0.14093333,0.14045681,0.15486355,0.1046091,0.0048889434,0.031224262,0.07204093,0.044544768,0.06340556,-0.07669972,-0.03484515,-0.055191822,-0.109154135,-0.085297406,-0.16586441,-0.062522426,-0.12472389,0.06203626,0.13984665,0.0018414361,-0.071716614,0.026593244,0.089865394,-0.20283836,-0.18115714,-0.021550702,-0.05678783,0.012137559,-0.021091823,0.005768958,-0.07126096,0.008526067,-0.030302757,-0.14570475,-0.17663684,-0.0831975,-0.06510089,-0.15460831,-0.06861339,-0.06721688,-0.045750905,-0.09056215,-0.067688614,-0.05080867,-0.068438254,-0.01620379,0.021087002,0.10830976,0.02398273,0.18788296,0.04357042,0.14202683,0.22277421,-0.007012699,-0.0008331873,-0.06928582,-0.1082131,-0.07790409,0.019420074,0.09874105,0.03408316,0.044429153,-0.0067860424,0.03541829,0.052568372,-0.0032397297,0.013222464,0.017681895,0.008700565,0.003046593,-0.030011661,-0.068072975,-0.012881431,-0.014762278,-0.00657006,-0.039733697,-0.07459984,0.02365298,0.021007963
6,0.03845305,0.023463104,-0.0150599815,-0.026520265,0.011183934,-0.09244007,0.10508599,0.08516426,-0.012841579,-0.07710976,0.10369617,0.07865283,0.08229967,0.1371466,0.072467536,0.009772698,0.025621442,0.031240566,0.025158701,0.04362393,-0.07243864,-0.045573536,-0.09618199,-0.10963076,-0.10477738,-0.17606953,-0.077391915,-0.13761674,0.04822404,0.11407085,-0.005674774,-0.073446795,0.011607891,0.07535849,-0.23550697,-0.18549687,-0.028421784,-0.069023214,0.011724567,-0.027878702,0.04039047,-0.080016725,0.02076023,-0.017964315,-0.111427255,-0.13905756,-0.08024262,-0.062364478,-0.09823219,-0.007583844,-0.044120908,-0.028179334,-0.06952978,-0.0466851,-0.044551577,-0.07886368,-0.017214173,0.00810314,0.11235496,0.022953551,0.11524228,-0.045729857,0.1080796,0.15893161,-0.046598412,-0.07911111,-0.106519274,-0.14495747,-0.06772737,0.029338626,0.055829506,0.0049328543,0.03685153,-0.039504636,0.0048783324,0.051201932,-0.011686716,0.019073168,-0.028048826,-0.035104908,-0.041234527,-0.08213344,-0.08512303,-0.02929018,-0.03914692,-0.01672172,-0.059633847,-0.061939254,-0.0030306252,0.006795855
7,0.019326292,0.0036634752,-0.04473721,-0.03640239,0.009568114,-0.1334966,0.06545419,0.00018092323,-0.05015973,-0.107354954,0.0644892,-0.0021545445,0.017065823,0.105294056,0.030281315,0.006633818,0.018199194,-0.00876915,0.009664523,0.024201902,-0.05369917,-0.04507956,-0.12668785,-0.110321455,-0.116726875,-0.17612514,-0.088325456,-0.1359564,0.037597176,0.08551376,-0.006714128,-0.06478173,-0.003214652,0.05119663,-0.25682816,-0.18168835,-0.033819217,-0.07935601,0.008811039,-0.035694625,0.064482495,-0.0850711,0.033976726,3.3471954e-06,-0.06634457,-0.08884097,-0.07151966,-0.057282645,-0.031136312,0.05624271,-0.026118053,-0.01458502,-0.050071068,-0.036783088,-0.038223468,-0.08527526,-0.015853658,-0.007611528,0.10309535,0.01783226,0.028123846,-0.14474446,0.058814965,0.07958689,-0.09741108,-0.17845312,-0.14004345,-0.17699085,-0.053719644,0.028897693,0.006638679,-0.026902627,0.027758125,-0.06691517,-0.027270038,0.04830313,-0.016096745,0.024912458,-0.08010341,-0.07767747,-0.08320665,-0.12700969,-0.09189256,-0.039601676,-0.06545626,-0.03273563,-0.082768105,-0.050906,-0.03322024,-0.015458537
8,-0.0023907,-0.016831435,-0.06996841,-0.046787888,0.010811045,-0.16727847,0.022371603,-0.09450396,-0.083491884,-0.12867133,0.01992099,-0.09189006,-0.047218017,0.062382646,-0.017849723,-0.00504514,0.009582226,-0.04390128,-0.0012947165,0.0068456484,-0.023724733,-0.03277284,-0.14359955,-0.111072004,-0.12033162,-0.16605479,-0.09305551,-0.119336285,0.030927971,0.055542205,-9.825044e-05,-0.046595264,-0.016397187,0.02034519,-0.26378953,-0.16940972,-0.039044023,-0.08644057,0.0030452586,-0.0446209,0.07450828,-0.090048864,0.049542185,0.025812138,-0.013437944,-0.027805857,-0.056752693,-0.04887237,0.041823287,0.118155375,-0.012088266,-0.003834577,-0.033687886,-0.03588147,-0.03165697,-0.08678524,-0.01347317,-0.024809653,0.0833037,0.010654052,-0.062487997,-0.24045923,-0.00072275946,-0.005867015,-0.15365487,-0.28425622,-0.16489281,-0.19977802,-0.039390516,0.016655503,-0.040657066,-0.056468375,0.017707663,-0.085344516,-0.055911515,0.044715505,-0.015785754,0.029719941,-0.13445786,-0.116102226,-0.11899112,-0.16030276,-0.08807715,-0.0431394,-0.09150867,-0.052781783,-0.10641379,-0.04271805,-0.06295485,-0.04290034
9,-0.024080336,-0.037115075,-0.087824136,-0.05631416,0.014193241,-0.1888828,-0.01873415,-0.18666787,-0.10903038,-0.1381897,-0.02665684,-0.17967522,-0.102888145,0.012809138,-0.06697853,-0.024356836,0.0005375058,-0.07102825,-0.00812699,-0.0075111897,0.0123258205,-0.009885244,-0.14603287,-0.111240074,-0.11566895,-0.1464905,-0.0898014,-0.08941309,0.027855523,0.025123969,0.013878946,-0.021263028,-0.026761707,-0.013394274,-0.2542808,-0.14862482,-0.045195077,-0.08902544,-0.0052941325,-0.05419781,0.06971522,-0.09819725,0.068347804,0.060211215,0.04333985,0.040655967,-0.036368378,-0.036383774,0.114758246,0.17325859,-0.000379029,0.005390029,-0.021183793,-0.040433437,-0.02452191,-0.08299513,-0.011538802,-0.04218001,0.05655174,0.003256403,-0.14541681,-0.32013962,-0.063859254,-0.087887995,-0.2076466,-0.38005918,-0.17676897,-0.20963901,-0.027516248,-0.0066946275,-0.07839676,-0.07920145,0.007276369,-0.09260994,-0.076493844,0.040730253,-0.010651168,0.032712925,-0.18560322,-0.14753316,-0.1453751,-0.1790744,-0.074854106,-0.04037734,-0.11481243,-0.07442553,-0.12697768,-0.037656218,-0.08817474,-0.07173427
