timepoint,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R
0,0.14662398,0.18313468,0.048456706,0.1072533,0.09651009,0.03531512,0.07366349,0.043345544,0.1417561,0.08671163,0.079412505,0.01719372,0.102107175,0.012176522,0.10504192,0.078262955,-0.04670093,-0.033973005,0.09822533,0.08122563,0.028402938,-0.0627849,0.116966456,0.02923751,0.10335763,0.017058544,0.017242225,-0.07901346,-0.05725377,0.0053154784,-0.103910066,-0.07953207,-0.018487405,-0.046638,-0.24069665,-0.09611756,-0.06725112,0.070018746,0.0061306534,0.0011763603,-0.045762688,-0.16990998,-0.2143767,-0.25539294,-0.0195597,-0.052589737,-0.017929439,-0.04230883,-0.01752949,-0.026249181,-0.1082819,-0.03354807,-0.14081052,-0.2107009,0.0061060633,0.016380971,0.27535805,0.31338984,0.18532023,0.21652955,0.2932731,0.090247415,0.007744151,-0.005051542,0.038831297,0.012811669,0.12605579,0.080437265,0.2503851,0.29546255,-0.088729836,-0.02984631,-0.23874982,-0.09857447,0.015824696,-0.047006257,-0.05397401,-0.04912473,0.13184445,-0.10661213,0.121677175,0.2026586,0.03700041,0.014424486,0.06586783,0.092656836,-0.013963646,0.042713676,0.09671003,0.16387442
1,0.12753332,0.12968628,0.031481326,0.10220406,0.078327976,0.054531317,0.06323591,0.05907348,0.12081566,0.086433224,0.06347352,0.03664198,0.08206778,0.01015584,0.070277736,0.05561679,-0.050431356,-0.04336847,0.06456264,0.066000886,0.032959867,-0.048858352,0.094803296,0.023130283,0.07252976,0.0008634111,0.0015480836,-0.05841881,-0.067828126,-0.0245888,-0.10483162,-0.058280423,-0.011683657,-0.045735803,-0.23690875,-0.09774946,-0.07494324,0.04185051,-0.0018039789,-0.03230942,-0.01796138,-0.13583189,-0.24929073,-0.25068912,-0.079878464,-0.114467695,-0.049669344,-0.07116448,-0.056370348,-0.04923396,-0.10772226,-0.03803113,-0.14508693,-0.1826708,-0.016215893,0.01344031,0.21079907,0.24333487,0.1465915,0.12921496,0.2862028,0.07287354,0.015459424,-0.006275285,0.043667812,0.013230426,0.12666138,0.07585757,0.20197433,0.21573451,-0.066544734,-0.044742566,-0.20642035,-0.0669942,0.018669175,-0.060434695,-0.047735877,-0.07936528,0.07465814,-0.047155105,0.10279842,0.16566792,-0.0034273008,-0.028835494,0.027629402,0.04629057,-0.05387541,0.00352653,0.0751185,0.13211553
2,0.10029643,0.065306395,0.0135875065,0.08379018,0.054959115,0.064516224,0.0450714,0.058578357,0.09599883,0.07555392,0.03777222,0.0389966,0.060963,0.008695187,0.037051413,0.026763631,-0.05234583,-0.05432757,0.025818149,0.04359642,0.030419445,-0.04246947,0.06939024,0.014186141,0.04388577,-0.014193365,-0.013497633,-0.03843671,-0.07452496,-0.05545249,-0.09918799,-0.033467986,-0.006397905,-0.043674976,-0.20665598,-0.08371226,-0.07118664,0.012062706,-0.009551354,-0.065562196,-0.0010541653,-0.0900294,-0.25950965,-0.22027425,-0.13775457,-0.16791865,-0.07637735,-0.09521042,-0.09871653,-0.07014439,-0.10186887,-0.041542392,-0.1369991,-0.14634334,-0.0376931,0.0057832943,0.12990102,0.15558589,0.08978371,0.024731355,0.2530376,0.04059249,0.015292875,-0.01580846,0.051220536,0.0054381173,0.11813632,0.06358406,0.14769667,0.12591131,-0.04508502,-0.05572895,-0.15109047,-0.026095899,0.013692975,-0.065725364,-0.04396779,-0.09838104,0.014658308,0.0037329954,0.07440936,0.11655407,-0.044582944,-0.06869084,-0.0070510553,-0.0015697367,-0.08719687,-0.03405964,0.051071655,0.08719554
3,0.06444877,-0.005242718,-0.0026886717,0.053491652,0.029898044,0.06273429,0.019685129,0.03990366,0.070553385,0.055759758,0.0012159055,0.01890236,0.03745479,0.004886868,0.009606383,-0.0050442303,-0.056929823,-0.07037451,-0.0148530835,0.015790384,0.020329472,-0.045825966,0.04656549,0.004302674,0.024357155,-0.025424484,-0.025894493,-0.021553786,-0.078294605,-0.086506836,-0.084495544,-0.0070906826,-0.0046239025,-0.042809807,-0.15043092,-0.058103207,-0.056626543,-0.01557345,-0.015289339,-0.0956488,0.0040731244,-0.037470773,-0.24768011,-0.17247507,-0.19158997,-0.21259432,-0.09867018,-0.1147064,-0.14572701,-0.09022645,-0.09459603,-0.045226824,-0.12055945,-0.10920374,-0.058752354,-0.008797921,0.03807829,0.058596116,0.01691977,-0.08951571,0.19305418,-0.007008293,0.0013643987,-0.039935566,0.0629392,-0.007607481,0.09841328,0.042923525,0.09157722,0.031883255,-0.0254263,-0.060884394,-0.07831018,0.016051136,0.0012129542,-0.0631098,-0.043693192,-0.1032562,-0.04269478,0.034931134,0.035900824,0.058708813,-0.08110474,-0.09990783,-0.03363615,-0.045305755,-0.10781028,-0.064605586,0.027788192,0.03326131
4,0.021015929,-0.07577312,-0.0148748215,0.014694971,0.006453332,0.048790015,-0.011175049,0.0041317334,0.04715289,0.030157592,-0.045235228,-0.025372218,0.010343157,-0.0038924012,-0.0091563435,-0.036073342,-0.067283556,-0.09324158,-0.05377748,-0.014667816,0.003849955,-0.05858234,0.031124845,-0.004767508,0.019043067,-0.030524218,-0.033916846,-0.009004922,-0.08003282,-0.1164296,-0.059188243,0.018798541,-0.0075327284,-0.044857107,-0.07220663,-0.02612768,-0.03318485,-0.037637364,-0.017319135,-0.11954936,-0.0007143794,0.016784979,-0.21910556,-0.117754005,-0.2390871,-0.24850598,-0.117544405,-0.1299745,-0.19666067,-0.11032164,-0.08924677,-0.049506243,-0.100008585,-0.07744141,-0.079505615,-0.031016441,-0.05713911,-0.03755262,-0.06706599,-0.20419027,0.10907502,-0.0679186,-0.029733712,-0.081980795,0.07930736,-0.022011492,0.06714631,0.01460314,0.037937906,-0.059501734,-0.007999111,-0.058675695,0.004445026,0.05149126,-0.01708795,-0.053233817,-0.046849504,-0.09315213,-0.09265815,0.039287116,-0.011427495,-0.0030011055,-0.10791317,-0.11783095,-0.04869024,-0.0796126,-0.111524366,-0.08334553,0.008103476,-0.02427926
5,-0.027510252,-0.13950521,-0.021207515,-0.027861267,-0.012898792,0.024460051,-0.044822942,-0.044712257,0.027327616,0.00271805,-0.098499395,-0.09141139,-0.021001985,-0.019359302,-0.018250098,-0.06267963,-0.08433479,-0.1222706,-0.08732863,-0.04447174,-0.016507372,-0.077976786,0.025719449,-0.011805972,0.03004117,-0.028066123,-0.036463346,-0.00060179044,-0.080313,-0.14324872,-0.0231864,0.042284,-0.015238848,-0.050453447,0.020626301,0.006840873,-0.0037447477,-0.051561024,-0.014479243,-0.13448511,-0.011457283,0.06825164,-0.18062387,-0.06689659,-0.27739418,-0.2757404,-0.13385479,-0.14117922,-0.2486195,-0.13055614,-0.08818195,-0.054138318,-0.07931279,-0.05513881,-0.099611335,-0.0599017,-0.14705919,-0.12265892,-0.15477009,-0.30913094,0.007334045,-0.13761087,-0.07810379,-0.1414635,0.0993613,-0.033786915,0.025839493,-0.019359268,-0.0091812145,-0.14107512,0.0072734347,-0.04816835,0.08868121,0.07374752,-0.038287383,-0.037124805,-0.05236441,-0.069420114,-0.13144648,0.014968658,-0.064407974,-0.06292733,-0.12113176,-0.11915271,-0.050619468,-0.100439236,-0.096947335,-0.08706408,-0.006119299,-0.0795239
6,-0.07734316,-0.18983638,-0.020965906,-0.06894117,-0.02678001,-0.006688773,-0.07800854,-0.10040099,0.011320339,-0.022503918,-0.15359077,-0.17303748,-0.056356065,-0.041995138,-0.018716358,-0.08186472,-0.10664157,-0.15424688,-0.11234904,-0.0701006,-0.03737129,-0.099217996,0.030202188,-0.01639815,0.05601591,-0.01790375,-0.033145014,0.005010681,-0.079235606,-0.16453959,0.0217346,0.061721824,-0.026840255,-0.059093986,0.118020274,0.035907567,0.028276093,-0.05600568,-0.0064758942,-0.13829091,-0.02300375,0.11355917,-0.13921943,-0.02906668,-0.30328253,-0.29395774,-0.14790669,-0.1481606,-0.29665518,-0.1502909,-0.092322186,-0.058374822,-0.061573397,-0.043739486,-0.118270226,-0.09287852,-0.22281753,-0.187625,-0.23734097,-0.39483666,-0.103328444,-0.20997615,-0.14016773,-0.2138364,0.12052249,-0.040147062,-0.022337478,-0.055997718,-0.046327677,-0.2059331,0.020891402,-0.029353427,0.16596052,0.07878361,-0.05874544,-0.016056739,-0.05835538,-0.035371188,-0.15657498,-0.034347955,-0.118161604,-0.11522583,-0.11864956,-0.10247744,-0.039986596,-0.10576635,-0.0657356,-0.074712865,-0.014338482,-0.12706365
7,-0.12393765,-0.22139186,-0.014824696,-0.1036498,-0.035134528,-0.039911404,-0.10735552,-0.1553811,-0.0018954969,-0.04199034,-0.20424303,-0.2609487,-0.09435533,-0.07070827,-0.013457957,-0.09174358,-0.13051373,-0.18377006,-0.12665644,-0.08841634,-0.055190507,-0.11641978,0.041497156,-0.019013576,0.092133224,-0.0013626319,-0.024430186,0.0099512385,-0.076308906,-0.17751777,0.071938105,0.07593172,-0.04044439,-0.06905961,0.20847653,0.057488684,0.05934217,-0.051099546,0.005936935,-0.12977545,-0.030163633,0.15068728,-0.100844644,-0.01025353,-0.3137446,-0.3024021,-0.15919544,-0.15043439,-0.33454484,-0.16807501,-0.10108994,-0.061289467,-0.04882854,-0.042055894,-0.13432468,-0.12618722,-0.27668336,-0.22595975,-0.30568665,-0.45360222,-0.21234475,-0.27777526,-0.20893756,-0.29093263,0.13893823,-0.039867554,-0.07286734,-0.09172922,-0.07118363,-0.2482937,0.03350338,-0.0032381916,0.22889005,0.06572796,-0.07459808,0.008544213,-0.062434725,0.0042305095,-0.16687524,-0.09986338,-0.16677426,-0.15477073,-0.10055652,-0.06876983,-0.019621039,-0.09603866,-0.022512449,-0.04781552,-0.017472306,-0.16266777
8,-0.16262588,-0.2308925,-0.004740164,-0.12823673,-0.039032713,-0.070160076,-0.12988217,-0.20202932,-0.014168102,-0.05345655,-0.24375533,-0.34414428,-0.13254404,-0.10290792,-0.0065792077,-0.091761574,-0.15088405,-0.20434009,-0.1293638,-0.09716611,-0.06691128,-0.12381046,0.054203633,-0.020853413,0.13085292,0.018805541,-0.01151752,0.016437963,-0.07063821,-0.17963487,0.12220933,0.08420116,-0.05362402,-0.077905826,0.28054804,0.06942837,0.08618033,-0.03839889,0.020952126,-0.108993664,-0.028949622,0.17875071,-0.06951953,-0.012389685,-0.3066257,-0.29996872,-0.1664613,-0.1473645,-0.35581058,-0.18201198,-0.11262193,-0.062135343,-0.041884072,-0.046956114,-0.14644016,-0.15548915,-0.30329376,-0.23474754,-0.35186473,-0.4806812,-0.3088922,-0.333933,-0.27501312,-0.3622313,0.14994428,-0.03391854,-0.120726384,-0.12305934,-0.08301519,-0.26447222,0.04566066,0.027975906,0.27185282,0.03677762,-0.08244447,0.03505486,-0.0622848,0.043903176,-0.16257048,-0.16944851,-0.20422232,-0.17796126,-0.06924076,-0.021401104,0.005834587,-0.07420269,0.025948172,-0.010292578,-0.017633663,-0.18394595
9,-0.18931712,-0.21760818,0.0063155526,-0.14061432,-0.0403308,-0.09286061,-0.1433279,-0.23376648,-0.027648997,-0.05613954,-0.26607803,-0.41141203,-0.16758333,-0.13473062,-0.0025860732,-0.08277735,-0.16222672,-0.20940158,-0.12097475,-0.095249765,-0.0705928,-0.11686313,0.06165375,-0.02347945,0.16314258,0.038900994,0.0037977684,0.026193762,-0.06103655,-0.16885382,0.16654147,0.08649968,-0.06365676,-0.08277479,0.32455423,0.07130619,0.106194526,-0.020602351,0.035994016,-0.07736888,-0.017400585,0.19785771,-0.046744633,-0.032984853,-0.28114802,-0.28541505,-0.16778661,-0.13827829,-0.35490674,-0.18992788,-0.12409898,-0.060578153,-0.04046533,-0.054038186,-0.15335575,-0.17659627,-0.30038178,-0.21498236,-0.37032518,-0.47488675,-0.38317847,-0.3723715,-0.32783812,-0.41648582,0.14900905,-0.0250381,-0.16095982,-0.14696479,-0.08262404,-0.253276,0.057743628,0.06109553,0.29161933,-0.0032462003,-0.07991396,0.06160774,-0.055999797,0.078351386,-0.14511187,-0.22944483,-0.22525668,-0.18311878,-0.028988525,0.034157988,0.030584933,-0.045266215,0.07179117,0.031950172,-0.017727802,-0.19055444
