timepoint,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R
0,-0.1956421,-0.1889284,-0.06544675,-0.01744253,-0.10953462,-0.10440137,-0.21404333,-0.18591285,-0.21156673,-0.22438414,0.018175267,-0.135996,-0.04666223,-0.055073254,-0.0502154,-0.15082143,-0.25637978,-0.27291837,-0.17971307,-0.17518567,-0.0425829,0.03312455,-0.09045952,-0.0251673,-0.15496905,-0.10863925,0.008067136,0.19156528,-0.2043096,-0.32238674,-0.26169807,-0.15738328,-0.37244943,-0.21990222,-0.19141306,-0.054393545,-0.0650372,-0.07426977,-0.06493612,-0.012959456,-0.0812385,-0.12268327,-0.24570191,-0.18040842,-0.26529342,-0.19317363,-0.19333544,-0.11376858,-0.24627331,-0.1808518,-0.1153235,-0.1782544,-0.22180945,-0.20511094,-0.21258993,-0.060883407,-0.3106259,-0.27528307,-0.33573288,-0.4001032,-0.18687877,-0.31475484,-0.1784326,-0.45995054,-0.21946386,-0.09693849,-0.20817591,-0.167721,-0.3076574,-0.30782592,-0.16153437,-0.09439702,-0.29490137,-0.17376043,-0.06463972,-0.091985725,-0.20277047,-0.2598975,-0.20057897,-0.37467495,-0.29066914,-0.24302493,-0.18452732,-0.15996768,-0.10471447,-0.08010991,0.018633412,-0.04801506,-0.06310057,-0.051901475
1,-0.18968683,-0.20451985,-0.089030355,-0.017233592,-0.10089452,-0.086020015,-0.2309358,-0.1752398,-0.21480095,-0.18660222,0.0108909635,-0.113086306,-0.059238892,-0.058435477,-0.077563845,-0.15791342,-0.24875215,-0.25519082,-0.17502764,-0.14697988,-0.048615858,0.008252454,-0.0925094,-0.00917879,-0.18689713,-0.13997762,-0.0017353352,0.17459348,-0.18796444,-0.29140687,-0.27061045,-0.16142324,-0.37854895,-0.22250171,-0.21974193,-0.04880179,-0.047874864,-0.08157049,-0.080939464,-0.026949927,-0.13693155,-0.13175386,-0.26553583,-0.17508364,-0.24663426,-0.1446078,-0.21759497,-0.15365565,-0.25858006,-0.17974581,-0.16885574,-0.22165668,-0.28507063,-0.2925134,-0.25824556,-0.1091679,-0.32306927,-0.29217577,-0.35276708,-0.423763,-0.23434146,-0.2761788,-0.2001311,-0.45671284,-0.276546,-0.09707222,-0.26517603,-0.19110134,-0.33180043,-0.33803228,-0.16913289,-0.085586704,-0.30421442,-0.180778,-0.058369137,-0.09186212,-0.20758043,-0.2587458,-0.26333085,-0.41029346,-0.30482274,-0.26693776,-0.19626483,-0.20834325,-0.16059491,-0.13023213,-0.046725634,-0.12737523,-0.094557844,-0.0772139
2,-0.15598428,-0.19483405,-0.0973327,-0.0145372795,-0.083414376,-0.06026157,-0.22869903,-0.14823088,-0.20264249,-0.13521007,0.009739018,-0.07692896,-0.055167045,-0.05075202,-0.09110293,-0.14737603,-0.21540752,-0.20932928,-0.14535812,-0.105125085,-0.050224513,-0.016129488,-0.083737016,0.010151922,-0.19647607,-0.14657627,-0.0023429906,0.15195005,-0.1578208,-0.2360644,-0.2613388,-0.15021425,-0.3544213,-0.21034455,-0.23000725,-0.04447399,-0.021364653,-0.07761802,-0.09074685,-0.03629193,-0.16969903,-0.11848708,-0.2535915,-0.15160502,-0.20632622,-0.08316248,-0.21557263,-0.17650287,-0.25827736,-0.16724986,-0.20616406,-0.23925647,-0.32356328,-0.34855545,-0.2724182,-0.14000209,-0.29825392,-0.2746008,-0.336774,-0.41188177,-0.25798118,-0.21967831,-0.19953337,-0.41748998,-0.3035361,-0.08198719,-0.29344392,-0.19743155,-0.311864,-0.32446444,-0.16343284,-0.071093515,-0.2925045,-0.1754477,-0.044894498,-0.07750377,-0.19246286,-0.23103914,-0.3035096,-0.4070717,-0.29169708,-0.26476732,-0.18652989,-0.23321132,-0.19193488,-0.16212784,-0.09866943,-0.18478288,-0.11154754,-0.09304327
3,-0.09669982,-0.15827553,-0.08894373,-0.008929598,-0.058333874,-0.031081868,-0.20429619,-0.105262525,-0.17505808,-0.07505356,0.01660728,-0.03009717,-0.03428948,-0.03162735,-0.08930165,-0.119680345,-0.15750155,-0.13814792,-0.09268307,-0.054571915,-0.046071187,-0.035211507,-0.06542848,0.03033519,-0.18061608,-0.12866266,0.0057848766,0.124377936,-0.11583728,-0.16152483,-0.23178299,-0.12280643,-0.2988547,-0.18191852,-0.21999556,-0.040819228,0.010733872,-0.06129582,-0.09148795,-0.039391093,-0.17534278,-0.08482038,-0.20563327,-0.10937134,-0.14308809,-0.0115601,-0.18299755,-0.1753649,-0.23898058,-0.14054765,-0.21841986,-0.22443783,-0.3267907,-0.36133486,-0.24942732,-0.14763287,-0.23587629,-0.2216075,-0.28472897,-0.35953534,-0.2499114,-0.14763302,-0.17397328,-0.3421199,-0.2956561,-0.050978955,-0.28534022,-0.18224634,-0.24468479,-0.26453283,-0.14351861,-0.05242767,-0.2602299,-0.15717459,-0.025543762,-0.050663915,-0.15723707,-0.17814909,-0.3142532,-0.36097106,-0.2501257,-0.23413461,-0.15455136,-0.23163591,-0.19195676,-0.16948198,-0.12947637,-0.2133623,-0.111139886,-0.09638209
4,-0.01842062,-0.09786655,-0.065471314,-0.00083225407,-0.027911631,-0.0033281492,-0.15811259,-0.04950872,-0.13427655,-0.012518485,0.0313145,0.022897378,0.00021261888,-0.0027855213,-0.073349915,-0.078169845,-0.08059211,-0.048733592,-0.023411972,-0.001824425,-0.035815805,-0.04506653,-0.040654894,0.048201326,-0.14006612,-0.0903649,0.020583194,0.092892416,-0.06593749,-0.076077856,-0.18298678,-0.080607794,-0.2153281,-0.1378566,-0.19012654,-0.036940217,0.04355711,-0.033376247,-0.08171014,-0.0358048,-0.15411597,-0.03562936,-0.123762526,-0.051304698,-0.0593355,0.06553077,-0.12075741,-0.14736713,-0.19642006,-0.09867437,-0.20046759,-0.17516603,-0.28916016,-0.32492033,-0.18905963,-0.12988997,-0.1420694,-0.13818927,-0.19948381,-0.2682659,-0.20781352,-0.064869836,-0.12537278,-0.23625511,-0.25394666,-0.0063700085,-0.23908968,-0.14451799,-0.13517131,-0.16308634,-0.11088033,-0.032149225,-0.21014158,-0.12698393,-0.0027586527,-0.015091222,-0.10507819,-0.1053687,-0.29364994,-0.27515754,-0.1836308,-0.17746645,-0.103173554,-0.20449434,-0.15946749,-0.15009421,-0.13491575,-0.21101539,-0.09327663,-0.08608561
5,0.068685606,-0.020996096,-0.03118495,0.008559476,0.0048081256,0.018036013,-0.09416103,0.013282656,-0.084588386,0.045257755,0.0516292,0.07605507,0.042359512,0.03211492,-0.046862792,-0.028503353,0.0059900233,0.04825034,0.052418545,0.045926537,-0.020318696,-0.04330597,-0.013784052,0.060446147,-0.07941479,-0.03879544,0.038724855,0.058866434,-0.013596447,0.009896127,-0.119256526,-0.027361143,-0.11183874,-0.08125564,-0.14354727,-0.031913437,0.07196974,0.0035384025,-0.061619896,-0.026267841,-0.11051878,0.02196488,-0.016532142,0.016334686,0.038490415,0.14163145,-0.035008393,-0.09441597,-0.12977034,-0.043124296,-0.15190709,-0.09463145,-0.21139234,-0.2407672,-0.09680791,-0.088602684,-0.028687164,-0.03470349,-0.08973754,-0.14624785,-0.13563906,0.021591889,-0.060102377,-0.1109934,-0.1849019,0.046675887,-0.15927239,-0.08700033,0.004038005,-0.03199234,-0.0693799,-0.013486152,-0.14704742,-0.087454796,0.020205427,0.023919147,-0.042211145,-0.021365909,-0.24495631,-0.15980008,-0.10005885,-0.101764224,-0.038531817,-0.15618983,-0.09904806,-0.106221296,-0.114799015,-0.18044809,-0.060738463,-0.06309563
6,0.15259226,0.061870623,0.0077765607,0.017495591,0.036378294,0.028901057,-0.019552102,0.07558589,-0.031622503,0.09153807,0.07369912,0.122814424,0.0844832,0.06807176,-0.015207656,0.022299036,0.09074258,0.14042827,0.1228872,0.082036525,-0.0014074643,-0.029648168,0.010450047,0.06421321,-0.0064050127,0.017223846,0.05617609,0.023926951,0.03502394,0.08567948,-0.047483418,0.031299796,0.00035239244,-0.017257322,-0.08546602,-0.02485852,0.09137706,0.04523074,-0.033177588,-0.012604541,-0.052450694,0.07963355,0.10248422,0.084973924,0.14061682,0.20908827,0.0636252,-0.022874566,-0.042254698,0.022004012,-0.07741583,0.008772144,-0.10058077,-0.11765444,0.016624535,-0.029465849,0.08882622,0.07496618,0.03129946,-0.007199706,-0.042942427,0.103384316,0.012122697,0.018898085,-0.09918877,0.10085106,-0.05603246,-0.015975587,0.15463135,0.11171732,-0.024593916,0.0002101297,-0.07718376,-0.042493697,0.039824884,0.060479462,0.02311641,0.063161105,-0.17581116,-0.030238794,-0.010257912,-0.017395485,0.030877722,-0.0939379,-0.020271324,-0.044259395,-0.07298515,-0.12879139,-0.01862916,-0.030320296
7,0.22129391,0.13893887,0.04446751,0.024010612,0.06338732,0.02683173,0.05649062,0.1292384,0.018432686,0.12091488,0.0926876,0.15694971,0.1185549,0.099497035,0.015466315,0.06693355,0.16192149,0.21566908,0.1761416,0.101412654,0.018366328,-0.0059208963,0.027723553,0.057613555,0.06922656,0.06863869,0.0688244,-0.010090258,0.07402366,0.14182241,0.023752566,0.08855809,0.10829186,0.047569633,-0.022467528,-0.015265942,0.098544225,0.08648445,0.00022716387,0.002654269,0.010258377,0.12917009,0.216838,0.14509623,0.23519078,0.26002863,0.16170634,0.05743361,0.05899276,0.09050382,0.01391935,0.12271081,0.030703722,0.029414063,0.13684393,0.038870167,0.19416806,0.17587343,0.14795499,0.13185704,0.056667943,0.17185499,0.07986225,0.13728878,-0.00990111,0.1477568,0.056539718,0.059726916,0.29562637,0.24868509,0.01700848,0.0060408907,-0.0074734353,0.003160928,0.052857064,0.08899927,0.08184047,0.13699795,-0.096757986,0.09548197,0.07363732,0.063606426,0.09548922,-0.026488116,0.0638883,0.026310239,-0.016704595,-0.06619291,0.026455183,0.0077594602
8,0.2647488,0.19902371,0.07239834,0.02634466,0.082913905,0.011604752,0.1240668,0.16670193,0.05992056,0.13017783,0.103709474,0.1735575,0.13765532,0.12114578,0.03927405,0.09903173,0.20952617,0.26405954,0.202521,0.10143419,0.036213975,0.024099622,0.035006247,0.040164642,0.13723755,0.10769055,0.07320005,-0.041227255,0.098725826,0.17172474,0.08566108,0.13738175,0.19939527,0.106107004,0.03853619,-0.002983253,0.09210277,0.12173947,0.03427649,0.016663048,0.067426994,0.16352935,0.30993852,0.18789515,0.30997035,0.28745624,0.24509513,0.13479117,0.16363344,0.15469411,0.10978852,0.23235716,0.16605419,0.18115856,0.24773484,0.10599766,0.27284408,0.25445187,0.24463703,0.25324464,0.14782518,0.21928872,0.13199311,0.22928724,0.069758125,0.17919081,0.16279641,0.13010173,0.40670455,0.36016104,0.049235016,0.0021359546,0.05538499,0.04453258,0.05691477,0.1051296,0.12563424,0.19018966,-0.019322122,0.19974189,0.1401956,0.12953743,0.14614406,0.037138037,0.13922212,0.094421186,0.04455973,-0.0041843043,0.067496985,0.04573352
9,0.27661896,0.23353928,0.086716935,0.023339404,0.09292905,-0.014618952,0.17428397,0.18242656,0.08859331,0.11886816,0.10280312,0.16981645,0.13725209,0.12899841,0.051674467,0.11420476,0.22715476,0.27970433,0.19634597,0.082436234,0.049641985,0.05545969,0.031181457,0.013003967,0.18860012,0.12912622,0.06701764,-0.06762947,0.10656312,0.17277583,0.13071477,0.17164385,0.26345438,0.15188226,0.091337524,0.011656666,0.072846934,0.14599036,0.06454084,0.026830513,0.11024084,0.17810807,0.3681028,0.20701702,0.35455185,0.28658885,0.30144548,0.19774574,0.25982273,0.2067684,0.19688675,0.3228297,0.2881848,0.31721804,0.3340679,0.16148509,0.3148748,0.30089477,0.30847237,0.34160158,0.21616073,0.24011397,0.15970165,0.28383,0.12866507,0.18854664,0.24813911,0.18566148,0.4716661,0.4311874,0.067345716,-0.011873123,0.10577371,0.077186756,0.050910383,0.10646333,0.14837481,0.21572225,0.04610344,0.26849872,0.18069945,0.17112297,0.1756648,0.08923904,0.19287694,0.14935964,0.10080852,0.046505533,0.098288774,0.07810867
