timepoint,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R
0,-0.13743398,-0.10740943,-0.103886455,-0.048163153,-0.046531867,-0.09505986,-0.07719472,-0.020429647,-0.13181321,-0.115178645,-0.14219181,0.040746942,-0.04535858,-0.036425732,-0.14420827,-0.17500375,-0.037066206,0.038228035,-0.12479072,-0.01022269,-0.08520237,-0.10850703,-0.14469899,-0.09847857,-0.03872144,-0.022605427,0.025154853,0.026668513,-0.033796784,-0.07671243,-0.115505554,-0.07194316,-0.08231048,-0.0141608855,-0.23828259,0.09419636,0.032965086,0.052856524,0.022899305,-0.03201869,0.024415236,0.049215905,-0.26872298,-0.33593658,-0.34580806,-0.3114107,-0.26845226,-0.28945187,-0.2554265,-0.24307683,-0.13288899,-0.23727894,-0.23267493,-0.2849724,-0.11255004,-0.15272889,-0.1398046,-0.024914363,0.01791569,0.047160026,-0.061063565,-0.13042392,-0.027717687,0.22138509,-0.08915015,-0.19389452,-0.06664283,0.018398106,-0.14993119,-0.22985128,0.043321,-0.078613184,-0.097812966,0.0055293296,0.08948509,-0.1846924,0.065517694,0.06752898,-0.07137663,-0.17765507,-0.0087127695,-0.10003452,-0.09410658,-0.05787878,-0.16473629,-0.100143455,-0.1432767,-0.19043052,-0.0060550277,-0.08022143
1,-0.10914559,-0.07189233,-0.12801166,-0.05017226,-0.048038974,-0.05630796,-0.06586497,0.026499037,-0.13418023,-0.08278631,-0.12483897,0.07837091,-0.029202295,0.0032042407,-0.13603327,-0.16093855,0.0065160994,0.110044636,-0.11912706,-0.00046044067,-0.08428127,-0.06545735,-0.19990833,-0.104367785,-0.045404397,-0.014150256,0.023169931,0.009328044,-0.0042121136,-0.023238467,-0.113983124,-0.058538478,-0.04318844,0.024492072,-0.29283413,0.09256525,0.035556786,0.06596039,0.035577495,-0.008490877,0.057381712,0.10155737,-0.2694823,-0.32464555,-0.33286884,-0.29453313,-0.2534287,-0.28400806,-0.23735102,-0.22804709,-0.10632241,-0.17703627,-0.1761255,-0.25928423,-0.10206875,-0.13804884,-0.070182145,0.007860724,0.060533565,0.10034842,-0.03760867,-0.10284188,0.03169631,0.30862802,-0.1395452,-0.20020325,-0.062197562,0.043633487,-0.09164636,-0.1750358,0.034366786,-0.055337366,-0.07489172,0.031191962,0.091888994,-0.13539752,0.092454486,0.08725698,0.028661072,-0.06740801,0.040893838,-0.053725064,-0.107720196,-0.051793177,-0.17078741,-0.06983358,-0.17238031,-0.2031897,-0.010915877,-0.05731285
2,-0.084277585,-0.04601154,-0.1417197,-0.055245157,-0.047863998,-0.017757121,-0.061164584,0.055793155,-0.12949479,-0.05136862,-0.106959604,0.09365737,-0.012153244,0.034029555,-0.11778653,-0.13760976,0.03685368,0.16143179,-0.11274317,0.0018921761,-0.081702344,-0.011682237,-0.23976128,-0.10634418,-0.0472779,-0.00764202,0.017908249,-0.0034960276,0.016207816,0.022479823,-0.109721154,-0.042397425,-0.016898451,0.044970106,-0.32862368,0.0799774,0.029269708,0.06707831,0.04429676,0.011653071,0.08185859,0.14398347,-0.2539575,-0.2914317,-0.3017134,-0.26272514,-0.22716378,-0.25896358,-0.20746839,-0.19959506,-0.07906214,-0.11252226,-0.109583385,-0.22353278,-0.08959335,-0.11553458,-0.008180972,0.025535962,0.08380255,0.13305496,-0.025612416,-0.08988147,0.07046391,0.34318578,-0.17202055,-0.20027779,-0.062353857,0.054974996,-0.03868013,-0.11330855,0.022217533,-0.03050554,-0.04589307,0.046597715,0.07879424,-0.07841845,0.11041862,0.09223162,0.10578406,0.037161767,0.07355657,-0.014586364,-0.12158607,-0.052954044,-0.16794626,-0.04620357,-0.18690494,-0.20032997,-0.016150353,-0.03770115
3,-0.06476899,-0.030176112,-0.14334832,-0.062282182,-0.045580573,0.015979236,-0.06316673,0.06412924,-0.11848129,-0.024088161,-0.089282125,0.0878562,0.005363031,0.055596773,-0.09085353,-0.10642129,0.051855195,0.18742418,-0.10543959,-0.0034172777,-0.07716039,0.043449603,-0.2593475,-0.102806225,-0.043413367,-0.0033625222,0.009873414,-0.009863268,0.025863208,0.056433205,-0.102137536,-0.024948224,-0.0044499347,0.04627226,-0.3413459,0.057695165,0.015945408,0.056035332,0.04945523,0.026816359,0.09574063,0.16908638,-0.22156918,-0.23916511,-0.25371563,-0.21886645,-0.19010915,-0.21572699,-0.168624,-0.16023278,-0.054071076,-0.050650906,-0.040271197,-0.18188536,-0.07506455,-0.08585677,0.040292468,0.028789649,0.0859418,0.14354053,-0.025430681,-0.09251877,0.08661656,0.32288015,-0.18404736,-0.19426104,-0.065693825,0.053242993,0.003352417,-0.052068055,0.007856175,-0.007820629,-0.0155589925,0.04796822,0.05392433,-0.021031728,0.11595556,0.082007416,0.15196848,0.124155715,0.08665614,0.01416354,-0.13213292,-0.058666084,-0.15611789,-0.031566866,-0.18467486,-0.18119392,-0.020301774,-0.023342198
4,-0.050497003,-0.022261793,-0.13198672,-0.06916406,-0.040553812,0.040913384,-0.07011609,0.05120922,-0.10216514,-0.003435068,-0.07162649,0.06502505,0.02313055,0.06844523,-0.05733907,-0.06912561,0.052344,0.18650669,-0.096113645,-0.015041856,-0.06997154,0.09046604,-0.2554574,-0.092357524,-0.033302672,-0.0011245616,0.00024038284,-0.009271166,0.025003225,0.07611762,-0.0906455,-0.00756892,-0.0037008568,0.03081151,-0.3279082,0.028418154,-0.0012049737,0.03476479,0.051882677,0.036490966,0.09855287,0.17208382,-0.17168967,-0.1709877,-0.19020225,-0.16540806,-0.14242202,-0.15646516,-0.12325821,-0.112658754,-0.032553002,0.0036755432,0.025415475,-0.13733593,-0.057854123,-0.050376326,0.07252436,0.021062182,0.06917364,0.13373458,-0.03482479,-0.10908912,0.08192469,0.2532717,-0.17478445,-0.18196219,-0.068861015,0.041753568,0.03175424,0.0026541804,-0.007429957,0.009772876,0.011497723,0.033844642,0.022934178,0.02962798,0.107557535,0.058630038,0.1645161,0.18501583,0.08098021,0.03147215,-0.13551997,-0.064969674,-0.13518476,-0.026024085,-0.16524552,-0.1468032,-0.02175231,-0.0148898205
5,-0.03968429,-0.018519737,-0.10785374,-0.07335513,-0.032186583,0.054153476,-0.0789863,0.019664358,-0.08171103,0.008981889,-0.0531218,0.031173155,0.04099992,0.07369737,-0.019950233,-0.028023671,0.041532125,0.16044421,-0.08325902,-0.030405946,-0.059499353,0.12109182,-0.22728498,-0.074287124,-0.01714951,-0.00040666692,-0.009406918,-0.0026391416,0.015588272,0.08072541,-0.07503928,0.008445025,-0.010438267,0.003642874,-0.28748,-0.0043901294,-0.018284708,0.007055984,0.05254527,0.041064024,0.09131225,0.1514553,-0.10457537,-0.090582356,-0.11313923,-0.10473077,-0.08464276,-0.084434606,-0.07360452,-0.059932195,-0.014392881,0.047528476,0.08222864,-0.09194862,-0.037264533,-0.011289412,0.0888203,0.0074759545,0.038770027,0.10830373,-0.0497513,-0.13569583,0.061168734,0.14635548,-0.14543357,-0.16325529,-0.06778069,0.02524234,0.046441633,0.0464578,-0.022186495,0.02046727,0.031567704,0.005462584,-0.0076866425,0.06741442,0.0859027,0.026213247,0.14600533,0.21524832,0.060194906,0.038089085,-0.1284189,-0.06762195,-0.105465256,-0.028035829,-0.13005641,-0.09991491,-0.019108534,-0.011884281
6,-0.02942419,-0.014430887,-0.07230837,-0.07231896,-0.020099128,0.05434404,-0.08602219,-0.02532374,-0.058284912,0.012614759,-0.032537278,-0.006697223,0.058665045,0.072877295,0.018276539,0.014272871,0.024552168,0.11408759,-0.065318555,-0.04598731,-0.045370903,0.12967275,-0.17646222,-0.04870319,0.004128706,-0.00043779548,-0.017391669,0.007904363,0.0009744275,0.07136569,-0.05550033,0.022093007,-0.019160964,-0.02827254,-0.22176681,-0.03688772,-0.031370625,-0.022088263,0.05233947,0.0417064,0.07642041,0.10945762,-0.021771321,-0.0021162264,-0.025145013,-0.03902601,-0.017993705,-0.0037972832,-0.021474378,-0.0052431044,0.0016302092,0.080096014,0.1265997,-0.047015585,-0.012788395,0.028589286,0.09216722,-0.006190906,0.0020835989,0.07384894,-0.06516619,-0.16678299,0.031255845,0.018820371,-0.09904934,-0.1382364,-0.05832177,0.009107478,0.049820296,0.07714973,-0.03497749,0.023736123,0.042451758,-0.033353,-0.03166454,0.087963566,0.053664073,-0.009709055,0.103894085,0.21514003,0.030336546,0.036397543,-0.108654045,-0.0628543,-0.06768754,-0.034684625,-0.08220138,-0.044592235,-0.011467582,-0.012870414
7,-0.016465897,-0.0058310726,-0.027872061,-0.06417695,-0.0042659156,0.0418704,-0.087502465,-0.076854534,-0.032841478,0.0080473665,-0.008578775,-0.041729994,0.07576215,0.067661375,0.054334685,0.054940104,0.00750232,0.05461939,-0.041229676,-0.057961427,-0.027782267,0.114009134,-0.10711419,-0.016789462,0.028918523,-0.00031400617,-0.022236185,0.019489411,-0.01463332,0.050837047,-0.03274991,0.032695767,-0.0244299,-0.057442296,-0.13519411,-0.065449156,-0.0372212,-0.047228187,0.051879168,0.039986387,0.05717229,0.05178844,0.07341239,0.0897649,0.07014891,0.029472278,0.05528326,0.08050974,0.031615507,0.048235003,0.017342329,0.10234532,0.15695399,-0.0030266747,0.015589043,0.06609897,0.0874323,-0.014684601,-0.032970507,0.037437238,-0.07606645,-0.19613208,-0.000105378436,-0.11087203,-0.040351916,-0.10753369,-0.03745959,-0.0018159659,0.04592393,0.09465591,-0.044485334,0.02031383,0.043733228,-0.07672737,-0.044181757,0.089297295,0.015135703,-0.043054808,0.049235124,0.18951565,-0.0013251479,0.029691203,-0.07561604,-0.048184093,-0.023199014,-0.04251224,-0.02601745,0.014278512,0.001376311,-0.01580882
8,0.0017460322,0.0100347735,0.021783622,-0.04821958,0.014668969,0.01877341,-0.0807655,-0.1274582,-0.006327375,-0.0033038938,0.01938478,-0.068420716,0.09135874,0.05941692,0.08537551,0.09094881,-0.0037997393,-0.0095864,-0.010980138,-0.06295029,-0.007669701,0.07561902,-0.0255869,0.019212453,0.054938186,0.000797322,-0.023074184,0.029141134,-0.026999075,0.023253208,-0.008096415,0.039885696,-0.022203756,-0.07714688,-0.035098713,-0.0873848,-0.03401335,-0.06361083,0.051418833,0.037574053,0.037247084,-0.01343141,0.17555209,0.17965145,0.16796835,0.09808971,0.13159753,0.16284674,0.0841106,0.09726043,0.034141913,0.11601662,0.17311542,0.039108437,0.047000185,0.09804053,0.07998459,-0.014458269,-0.059484392,0.0052373633,-0.078868926,-0.21810335,-0.025988901,-0.22528878,0.02440851,-0.07282757,-0.0042858417,-0.00423695,0.039220825,0.10045156,-0.04989398,0.01172677,0.03664864,-0.11775442,-0.04261405,0.07196943,-0.024762888,-0.0683989,-0.0053975875,0.14651702,-0.027622698,0.021422407,-0.03067771,-0.023006508,0.025649464,-0.048470262,0.033357903,0.07147612,0.018672151,-0.01861869
9,0.026553048,0.03394288,0.07242722,-0.025031175,0.035503976,-0.011426255,-0.06439421,-0.16998552,0.02047324,-0.0192057,0.051232956,-0.08316499,0.104463466,0.049274445,0.10910181,0.11945714,-0.0047698803,-0.07001139,0.024202282,-0.05845078,0.013454425,0.01964401,0.060403477,0.056319367,0.07971963,0.0036724228,-0.019709207,0.034385417,-0.03245249,-0.0064925253,0.016898427,0.043712188,-0.010393435,-0.08249165,0.0696184,-0.100943856,-0.02138321,-0.06773589,0.05088425,0.035860136,0.020173414,-0.076656595,0.27739638,0.2618306,0.2625442,0.16376755,0.20614642,0.23735921,0.13433692,0.13890772,0.052915238,0.123386025,0.17649642,0.07857363,0.0797391,0.12164015,0.07478264,-0.004180436,-0.072676845,-0.018498102,-0.0717277,-0.22813095,-0.041168068,-0.3104548,0.08867097,-0.036365792,0.039965365,0.003193728,0.034014102,0.09740581,-0.050625667,0.0003004058,0.02396473,-0.14932568,-0.027073283,0.039146334,-0.06097906,-0.08153123,-0.047790103,0.096561976,-0.04251306,0.014691068,0.023003353,0.011301319,0.07590948,-0.050214343,0.09073137,0.122225694,0.038904477,-0.019433238
