timepoint,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R
0,0.014527762,0.11915669,-0.082943216,0.05481568,-0.05801041,-0.103848144,-0.06208,0.012142401,0.026293086,-0.06296879,0.02553352,0.07976858,-0.08388651,0.034490503,-0.14342102,-0.12080689,0.0572999,0.08721743,0.08103245,0.007928015,-0.007649025,-0.058401637,-0.025897106,-0.043949604,-0.054406304,-0.057176992,-0.016221121,-0.0341581,0.014062421,0.013815803,-0.0793337,-0.05254282,-0.013909624,0.003325739,0.07806872,-0.048962347,0.047033623,0.01571765,-0.08680374,-0.02109337,-0.046820015,-0.036945097,-0.10517225,-0.04012909,-0.07826119,-0.05917071,-0.043627884,-0.089473695,-0.00018617729,-0.06204625,-0.1296294,-0.112483814,-0.10132978,-0.24246585,-0.079359375,-0.060766503,0.07137456,0.11565335,-0.03377007,0.0059247105,-0.05916448,0.02837444,-0.12439434,0.017320914,-0.2735525,0.0075199325,-0.011140597,0.0069607915,0.11146573,0.02455725,-0.03535441,-0.047805157,-0.0063302326,-0.016554564,0.090423025,-0.022989698,0.037128,0.028275924,0.13753097,0.10291213,0.073280334,0.108483866,-0.04272776,-0.06397883,-0.025736988,-0.00580632,-0.13366562,-0.055597045,-0.070982315,-0.01314342
1,-0.014915087,0.08411681,-0.10129334,0.021232942,-0.061001062,-0.09048103,-0.080007985,-0.0018352189,0.017319405,-0.04369465,0.020998964,0.097182445,-0.09646699,0.06917732,-0.13281815,-0.114437066,0.05210522,0.081551865,0.043424036,0.0046483907,-0.04901079,-0.06817482,-0.038875047,-0.061639264,-0.07192198,-0.079867035,-0.013989736,-0.038378976,0.019809281,0.009183076,-0.08304558,-0.058207244,-0.0100636445,-0.005780607,0.06839604,-0.06475006,0.050255556,0.0035516627,-0.06658332,-0.019201268,-0.040877897,-0.024222538,-0.08789516,-0.044493496,-0.086914845,-0.08278221,-0.038615476,-0.10284056,-0.044412483,-0.10182141,-0.15175927,-0.15177704,-0.13618161,-0.27188817,-0.09870378,-0.08443638,0.04376461,0.065725595,-0.067140296,-0.05572531,-0.042636465,0.059076842,-0.1072892,0.08667205,-0.23861343,0.017274085,-0.024130274,-0.0038861637,0.05038554,-0.0028318726,-0.02314218,-0.029828269,0.008746527,-0.0060912757,0.10015417,-0.015488596,0.030758591,0.023978451,0.15388723,0.10605893,0.061656516,0.105361104,-0.033519592,-0.057572227,-0.02608628,-0.001437062,-0.13814527,-0.041953165,-0.074190065,-0.020353539
2,-0.0339775,0.048432525,-0.1062914,-0.015013907,-0.06027309,-0.06791699,-0.08872187,-0.010339779,0.008475774,-0.018151293,0.017384017,0.10394177,-0.0970575,0.098765105,-0.10976444,-0.103481956,0.041136857,0.071623266,0.007484417,0.0022635409,-0.086280786,-0.07270332,-0.04588774,-0.07387594,-0.084117115,-0.091313355,-0.01081493,-0.03851077,0.026152417,0.005772258,-0.074801676,-0.05502217,-0.0027754365,-0.012653435,0.052222773,-0.06695921,0.05201808,-0.006490663,-0.041954257,-0.012672485,-0.03103042,-0.010080904,-0.059749693,-0.0434352,-0.08485316,-0.10011216,-0.029626723,-0.10693623,-0.082666814,-0.13016757,-0.16045974,-0.17635842,-0.1648359,-0.2949941,-0.105751954,-0.10217175,0.016111765,0.016570207,-0.09010276,-0.10822568,-0.011812443,0.096993126,-0.07510277,0.14804614,-0.16550939,0.048932146,-0.031570517,-0.009297391,-0.005054159,-0.028413113,-0.005514406,-0.004182723,0.024688967,0.010085367,0.09903615,-0.0024681005,0.021725336,0.023892384,0.15041046,0.108206496,0.04858582,0.09688907,-0.023767753,-0.042362634,-0.018618926,0.010052712,-0.12979129,-0.020268988,-0.069738746,-0.022730585
3,-0.038580578,0.016865872,-0.095843785,-0.04839295,-0.054717537,-0.039280742,-0.08431938,-0.011401123,0.0016743359,0.010092015,0.018142158,0.100295454,-0.08276395,0.120870925,-0.07554121,-0.08805661,0.027922042,0.059966434,-0.020813238,0.0020357107,-0.11462542,-0.06997971,-0.044278864,-0.07789635,-0.0889136,-0.08912243,-0.006235677,-0.03471841,0.033048987,0.00507354,-0.05381528,-0.04271816,0.009743076,-0.014328588,0.03363087,-0.054218177,0.051769454,-0.013167102,-0.015920706,-0.0021688007,-0.022303034,-1.4248034e-05,-0.021861278,-0.034572717,-0.068610184,-0.10540984,-0.016886102,-0.09930612,-0.108237796,-0.14023007,-0.15162158,-0.18070252,-0.18168385,-0.30771038,-0.09736434,-0.11024174,-0.0063761277,-0.023790859,-0.09548909,-0.14173803,0.03289457,0.14029714,-0.02718864,0.19629262,-0.05764507,0.10066007,-0.028766427,-0.005893642,-0.04730448,-0.047947466,0.016728368,0.026428822,0.039230835,0.029630892,0.08670295,0.014516582,0.011736471,0.028372506,0.1300251,0.11067341,0.037326053,0.08390432,-0.013325575,-0.01917949,-0.0021700652,0.028382681,-0.10744867,0.0083061075,-0.05718652,-0.018994419
4,-0.027289154,-0.0070669563,-0.06979155,-0.07379405,-0.043710742,-0.00834535,-0.064536214,-0.0042276504,-0.0014473988,0.037163585,0.025279308,0.08739557,-0.052963514,0.13344021,-0.03281395,-0.06857221,0.015502352,0.04850557,-0.037210252,0.0045023654,-0.13031666,-0.05873131,-0.032698646,-0.071967885,-0.08514513,-0.07303179,6.5733926e-05,-0.027643546,0.039895352,0.00747657,-0.021316916,-0.022509107,0.028364511,-0.008892719,0.017080037,-0.027055811,0.0489785,-0.015777742,0.008762441,0.010966357,-0.019365247,0.0017744043,0.023028467,-0.016822988,-0.036803085,-0.09467447,-0.0013628333,-0.0792559,-0.116190575,-0.1277843,-0.12322088,-0.16154674,-0.18227115,-0.3058145,-0.07276411,-0.10598676,-0.019989876,-0.04934216,-0.078648634,-0.14896625,0.08904095,0.18623853,0.034205005,0.22783,0.07716921,0.16742988,-0.012467756,0.008296739,-0.071625344,-0.058151927,0.042176727,0.058762506,0.050172176,0.049452543,0.06390131,0.033148453,0.0026611025,0.036604736,0.09767907,0.11329368,0.030165127,0.06742235,-0.0020658486,0.009736777,0.022941822,0.05216039,-0.07153156,0.041141447,-0.036962185,-0.0087468065
5,-0.0016147428,-0.021642653,-0.030002391,-0.08720921,-0.027240787,0.021163052,-0.02913353,0.010734415,0.00022968759,0.059405133,0.03896186,0.067160554,-0.009571424,0.1351023,0.014667502,-0.04574093,0.005840144,0.038126566,-0.039881594,0.009359393,-0.13130677,-0.038856436,-0.0114568835,-0.055647608,-0.07270529,-0.044840995,0.008157845,-0.018285818,0.045585137,0.012111123,0.019528523,0.0030580617,0.052696917,0.004101162,0.006694842,0.011983188,0.04314763,-0.014284636,0.029890228,0.02493693,-0.025685193,-0.007172739,0.07099751,0.009533758,0.009539442,-0.066336304,0.015495104,-0.047939967,-0.104014374,-0.09194214,-0.075716026,-0.11848138,-0.16397949,-0.285611,-0.033740252,-0.08832587,-0.023185637,-0.057033703,-0.038345177,-0.12634903,0.15227076,0.23134401,0.10414069,0.24116221,0.22716646,0.2416078,0.018471342,0.03340424,-0.076800786,-0.057408784,0.06877486,0.08928571,0.05550234,0.06605667,0.032522216,0.050667606,-0.0037717235,0.046653766,0.05936883,0.114413194,0.027788565,0.04842938,0.009949338,0.040966045,0.054897595,0.0790723,-0.02408927,0.07450455,-0.010303311,0.0074942005
6,0.034210194,-0.027129658,0.019773109,-0.08635882,-0.0060463278,0.04595591,0.0198448,0.031791456,0.0070774634,0.07389909,0.057631273,0.04220255,0.043232534,0.12541237,0.06251398,-0.020568082,-0.00032468804,0.028709162,-0.029537225,0.015594186,-0.1175407,-0.011518861,0.017373785,-0.029937299,-0.052636098,-0.008209505,0.01770822,-0.007735637,0.048776943,0.017233849,0.063870944,0.030503089,0.08098364,0.023509776,0.0054655075,0.058407325,0.033905357,-0.009384221,0.04607768,0.037719626,-0.042665463,-0.026943022,0.11716027,0.042556893,0.066671714,-0.021847852,0.031840242,-0.008378669,-0.072149925,-0.035345048,-0.012088786,-0.054116968,-0.12658508,-0.244511,0.015537969,-0.058004282,-0.016910642,-0.047350127,0.022649463,-0.07479209,0.21668732,0.27153873,0.17552514,0.23693058,0.37754694,0.31356695,0.062485117,0.06742656,-0.065257564,-0.046167746,0.09401224,0.11459965,0.053843625,0.07606013,-0.0045387144,0.06421288,-0.0063881297,0.055718023,0.021287845,0.11118043,0.029298387,0.027886145,0.02237946,0.070490494,0.09050938,0.10603202,0.031220399,0.10395858,0.020780774,0.028245157
7,0.07380584,-0.02573546,0.074321546,-0.07104169,0.018462118,0.06372985,0.078217834,0.056189623,0.018597368,0.07884165,0.07814518,0.015386538,0.099391356,0.10497839,0.106130295,0.0055798567,-0.0037047185,0.019056806,-0.009345237,0.021637099,-0.09105438,0.020823628,0.050148662,0.0028096945,-0.027004808,0.03192831,0.027906012,0.002982828,0.048061296,0.020430548,0.10583581,0.055936623,0.110143594,0.04664477,0.014720212,0.10629022,0.021006769,-0.0024276495,0.05673198,0.047320362,-0.06942472,-0.055559702,0.15627846,0.07892701,0.12850188,0.034404002,0.045711003,0.03494715,-0.02398959,0.03605898,0.062301237,0.025907345,-0.072487436,-0.18189116,0.06903021,-0.017643552,-0.0044236043,-0.024221342,0.09777461,0.0002900735,0.27548084,0.3026615,0.24010926,0.2177213,0.5120745,0.37305096,0.11532492,0.106377006,-0.04258388,-0.027054876,0.11510077,0.13175495,0.04456165,0.07666884,-0.043649822,0.07125501,-0.0047851065,0.060585152,-0.011421204,0.10008604,0.032155704,0.0064648837,0.03447854,0.094128884,0.12561427,0.12953396,0.08951144,0.1250525,0.053682666,0.051209975
8,0.109898925,-0.020879416,0.12764746,-0.043004986,0.04429833,0.07332451,0.14017433,0.080596805,0.03342661,0.07371722,0.09662547,-0.010224779,0.1520343,0.075604446,0.14134839,0.031139454,-0.0057640146,0.007646181,0.015895318,0.025878517,-0.05563584,0.054709,0.08222165,0.039197356,0.0014083385,0.07009867,0.03754469,0.013103862,0.04244462,0.019473368,0.1394268,0.07573405,0.1363303,0.06985151,0.033869542,0.14893793,0.0044683856,0.004733787,0.062000703,0.052139733,-0.10286425,-0.08925098,0.18372436,0.114581175,0.1874589,0.095725454,0.05555638,0.07691125,0.03467659,0.11397163,0.14051533,0.11388927,-0.0063113514,-0.099337325,0.11985548,0.028689537,0.009614062,0.0059817643,0.17761718,0.08979473,0.3217696,0.32069907,0.28987107,0.18762663,0.61477196,0.4103623,0.17058203,0.14486936,-0.016230736,-0.004179414,0.12925065,0.13856962,0.027804112,0.066074476,-0.08087068,0.069979,0.0005850361,0.05825417,-0.03495774,0.078170635,0.03298044,-0.015309559,0.045242567,0.10835244,0.15565766,0.1461075,0.14514017,0.13398394,0.08544542,0.07361924
9,0.13543509,-0.016689356,0.17377153,-0.0057265083,0.06919376,0.07490174,0.19898984,0.10148289,0.049531903,0.05940656,0.10917742,-0.031786226,0.19442137,0.04015753,0.16494095,0.05450614,-0.008537793,-0.007165375,0.04058594,0.026985759,-0.016351389,0.08617561,0.10868257,0.07528314,0.029495507,0.10115628,0.045118295,0.022171095,0.031541184,0.012675143,0.15935262,0.08709255,0.15534207,0.088985585,0.060436524,0.17977887,-0.015414925,0.010043939,0.06257189,0.05117737,-0.13813816,-0.12332798,0.19574822,0.14506325,0.23532692,0.1540238,0.060216717,0.112350635,0.096368305,0.18889561,0.2148024,0.20067106,0.06551943,-0.0009285794,0.16117653,0.075890675,0.019885372,0.035385404,0.25116757,0.18212497,0.34940743,0.32235563,0.318303,0.1515609,0.6722789,0.41768298,0.22044969,0.17676851,0.005752292,0.017271379,0.1340927,0.13388568,0.004656757,0.043842535,-0.11234015,0.05957887,0.0084622055,0.04650598,-0.047690343,0.04356386,0.028086498,-0.037143055,0.05348904,0.110747606,0.1764366,0.15278783,0.19241011,0.1283241,0.113088116,0.092590466
