timepoint,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R
0,0.09700403,0.050134286,0.07264183,0.10566789,0.040739246,0.051104497,0.019664992,-0.01207834,-0.14574485,-0.1341023,0.12161442,0.20453815,0.12520877,0.16924578,0.11315262,0.12959112,0.07008547,0.0369137,0.15564664,0.095033795,-0.010821487,0.0070222537,0.10256618,0.11502858,-0.0011608804,0.06946722,-0.037312802,0.12300613,0.075844236,0.14062229,0.064340785,0.026469244,0.123178884,0.080263354,0.17007387,0.1695778,-0.013921831,0.08270275,0.058946334,-0.00659461,0.11635022,0.04721054,0.0001351319,-0.07981141,0.1362657,0.081951514,-0.056709316,0.0025286728,-0.043048527,-0.03502082,-0.021256153,0.043703772,-0.07101066,0.066014044,-0.0077034296,0.041974384,0.029737178,0.062393628,0.16978446,0.10575934,0.06720807,-0.045448482,0.19673873,0.12084676,0.21139383,0.0801435,0.2803503,0.23093952,0.1002785,0.067683235,0.107049756,-0.02900609,0.05667666,0.02656192,0.07749521,0.14778161,0.043642912,0.04621523,0.0022935304,-0.010679445,0.068337575,0.15483223,0.1951657,0.15479225,0.20047776,0.19557433,0.033655517,0.1733758,0.025857003,-0.026739758
1,0.0986207,0.07160278,0.074212074,0.13059673,0.03314138,0.06728072,0.014522906,0.0010154559,-0.13784827,-0.14907886,0.12381582,0.23052107,0.13541853,0.21180253,0.12778424,0.17131267,0.1182739,0.056646094,0.15809117,0.09428495,0.022025933,0.05755989,0.122717775,0.14656654,0.038804356,0.08937041,-0.031995013,0.13136792,0.0960553,0.15970823,0.080479726,0.026994143,0.14979923,0.10114041,0.23368612,0.1993052,0.000632358,0.07518892,0.091441974,0.014014644,0.13286832,0.052826308,0.04312387,-0.026442911,0.19186284,0.15582365,-0.00093665917,0.024534807,0.004772236,0.035685997,0.015447679,0.10571184,0.0077002053,0.14134303,0.043150764,0.09534332,0.06414228,0.059361428,0.14145106,0.095020935,0.07459261,0.0144552,0.23238754,0.17589784,0.27922645,0.16829962,0.3043679,0.27148762,0.06216669,0.006637483,0.12764902,-0.01662242,0.04311292,0.01992252,0.07592619,0.18352167,0.064208426,0.06330657,0.04753371,0.06829928,0.12180528,0.18170519,0.23336223,0.16747575,0.24278335,0.26744747,0.058713377,0.2102886,0.03788987,-0.009046515
2,0.08314387,0.0759287,0.07245391,0.14472017,0.016231975,0.07356836,0.0017709103,0.0032166464,-0.128036,-0.16258153,0.09809485,0.23217814,0.1247594,0.23938362,0.12912828,0.20408489,0.14359689,0.059141144,0.1429772,0.081447035,0.04878689,0.10620317,0.13750716,0.17111431,0.082196005,0.110572346,-0.025830822,0.13258456,0.103418656,0.1586535,0.09690257,0.029421534,0.16605358,0.11404905,0.285537,0.22366591,0.014988277,0.063677005,0.11638001,0.035468467,0.13309647,0.052888654,0.07734216,0.027636345,0.23153588,0.21294051,0.05254919,0.042438027,0.04633235,0.097771585,0.045902416,0.15604438,0.080513984,0.20719162,0.086749665,0.13505346,0.0742613,0.03877764,0.09783735,0.06474329,0.06565302,0.053458903,0.23923391,0.20454216,0.31586358,0.23382139,0.30888164,0.29378086,0.022817837,-0.05612223,0.1313114,-0.0040823016,0.027392585,0.009845335,0.06400196,0.19628918,0.08013291,0.071552746,0.07915792,0.13876857,0.15787837,0.19469702,0.25040263,0.17545922,0.26499608,0.32602414,0.085402034,0.2424405,0.04534834,0.010350069
3,0.05091376,0.062122177,0.0679703,0.1444549,-0.0077673066,0.06925017,-0.016370527,-0.0063246987,-0.11488846,-0.17249994,0.04825193,0.20940253,0.09483982,0.24819928,0.119222455,0.22355884,0.14057289,0.042352658,0.111869514,0.057668347,0.06634001,0.14872313,0.1469572,0.18529749,0.124830276,0.13103765,-0.019616777,0.12552308,0.09555896,0.1364941,0.112678885,0.03440847,0.16991185,0.1167043,0.31839138,0.23837987,0.026402315,0.04854722,0.12998201,0.054418024,0.11586141,0.046407532,0.10105037,0.07780532,0.2516631,0.24789736,0.09843923,0.05580628,0.07929886,0.14759034,0.068894595,0.19339539,0.14187554,0.26094514,0.11907728,0.1580132,0.057472795,0.0029898724,0.043066736,0.020385372,0.042721394,0.069370046,0.21394391,0.20371617,0.3199615,0.26834664,0.29183024,0.29387152,-0.01602369,-0.1132952,0.11831876,0.0071254415,0.0107062245,-0.00297362,0.04166079,0.18385132,0.08956613,0.070332296,0.089678064,0.18954113,0.16957186,0.19065008,0.24395974,0.17746393,0.2652424,0.36469012,0.11190324,0.26447463,0.047981553,0.030119402
4,0.0045534982,0.031813532,0.061735474,0.12839349,-0.03535601,0.05509355,-0.03676011,-0.026701689,-0.0967678,-0.17647713,-0.018155565,0.16484971,0.049690537,0.23652259,0.10148796,0.22663012,0.10804388,0.0072878036,0.06838125,0.02560169,0.073021,0.18148798,0.15156093,0.18700762,0.1624291,0.1484889,-0.013634991,0.109826915,0.072267905,0.09503668,0.12657402,0.042035732,0.16064158,0.108076684,0.32684305,0.2397979,0.032874383,0.030697834,0.1300349,0.06766333,0.08248529,0.033411227,0.11279621,0.11888854,0.25018734,0.25727051,0.13164361,0.06373116,0.10159772,0.18195131,0.08352365,0.216475,0.18702091,0.2995704,0.13718775,0.16264306,0.015669918,-0.043271657,-0.01788552,-0.03140537,0.009837012,0.06317915,0.15791486,0.17431971,0.29484177,0.2679621,0.25353903,0.27027053,-0.052905124,-0.1587971,0.09118654,0.015669506,-0.0058696116,-0.017537493,0.010293906,0.14742161,0.09127452,0.060219087,0.07467321,0.21196565,0.15337276,0.16799001,0.21471673,0.17230631,0.24419518,0.3783726,0.13630432,0.27156955,0.045864955,0.04830828
5,-0.051180735,-0.010941285,0.05475283,0.09760548,-0.062364787,0.03331485,-0.055968355,-0.055213325,-0.07239208,-0.17227441,-0.09090702,0.10357316,-0.0048621017,0.20496744,0.079884194,0.21194759,0.049561914,-0.04193711,0.017634315,-0.011034298,0.06880856,0.20194095,0.15176429,0.17563073,0.19100353,0.16066463,-0.0077266437,0.086043924,0.035722435,0.038752772,0.13707888,0.05169525,0.1389507,0.08865607,0.30819267,0.22549438,0.033447027,0.011463223,0.116258785,0.07279182,0.036701947,0.015184768,0.111862235,0.14606513,0.22709733,0.24038987,0.14829047,0.06511737,0.11179406,0.19865422,0.089412525,0.22415477,0.2125814,0.3198992,0.1397691,0.14915451,-0.04500589,-0.09363422,-0.07961427,-0.083573125,-0.027834803,0.038694672,0.07725026,0.12108445,0.24737652,0.23364313,0.19691052,0.22434583,-0.08653708,-0.18863292,0.054098662,0.02060952,-0.021445192,-0.03260691,-0.027088014,0.091529846,0.084813036,0.042860433,0.033639796,0.20138058,0.109977126,0.12720364,0.16629364,0.15923983,0.20493442,0.36436,0.15675984,0.26035333,0.03945397,0.062647924
6,-0.1098719,-0.0600393,0.04803723,0.055555016,-0.084562115,0.0070998184,-0.07069386,-0.08781807,-0.04107643,-0.15827931,-0.15860349,0.032474503,-0.06185586,0.156439,0.058426023,0.18015867,-0.02695283,-0.098506935,-0.034324426,-0.04785961,0.05538201,0.20878424,0.1480189,0.15221316,0.20747414,0.16582368,-0.0014272241,0.055776518,-0.0097089745,-0.025754614,0.14264327,0.062166724,0.10696416,0.06045948,0.26301128,0.19475025,0.028424835,-0.0074329115,0.09041694,0.0685856,-0.01592243,-0.0058060195,0.09863338,0.15574259,0.18469529,0.19958887,0.14649682,0.05917513,0.109547354,0.19705763,0.08694138,0.21588315,0.21713471,0.31938192,0.1274286,0.1197631,-0.11481078,-0.14081933,-0.1367626,-0.12957056,-0.064694926,0.0020332604,-0.01787663,0.052057624,0.18698485,0.17108372,0.12711523,0.16026172,-0.11567565,-0.20120375,0.012300101,0.021523684,-0.035316013,-0.04688042,-0.06623462,0.023483925,0.070603974,0.02070238,-0.029500054,0.15802225,0.044492885,0.07114576,0.10484517,0.13820957,0.1526628,0.3228938,0.17186406,0.22959307,0.029614305,0.07104362
7,-0.16435738,-0.108413264,0.04225321,0.0076080947,-0.09838096,-0.019871728,-0.07846222,-0.11971764,-0.0032489186,-0.13394327,-0.21045355,-0.040695436,-0.11436802,0.09570791,0.040273543,0.13383159,-0.11050419,-0.15397781,-0.08144617,-0.08056429,0.03578466,0.20202273,0.1403939,0.11923509,0.20987792,0.16292128,0.0057279444,0.02150159,-0.058092933,-0.09070601,0.14189138,0.071772605,0.06793437,0.026820624,0.19515263,0.14883319,0.019177163,-0.024151042,0.05599278,0.05526407,-0.06883558,-0.02633598,0.07456578,0.146104,0.12728094,0.13992484,0.12665325,0.045600038,0.09557072,0.1780536,0.077095196,0.19181071,0.20130026,0.29648927,0.10254606,0.07832217,-0.18218176,-0.17796625,-0.18458736,-0.16416606,-0.095600754,-0.03942893,-0.11464286,-0.022576718,0.12377383,0.089677304,0.05098134,0.08450887,-0.13919978,-0.19748713,-0.02886288,0.018592931,-0.04696728,-0.059130806,-0.10206841,-0.0476891,0.04987716,-0.0033934587,-0.10694071,0.08703923,-0.034375757,0.004717198,0.038041495,0.10991282,0.09380684,0.25720164,0.18061751,0.18049113,0.017499318,0.07190965
8,-0.20757832,-0.14878078,0.03762173,-0.039796717,-0.10147712,-0.04394752,-0.07796222,-0.14593181,0.03948566,-0.09993111,-0.23794425,-0.10813828,-0.15633374,0.028830653,0.027373377,0.077226795,-0.18856506,-0.19934583,-0.11841377,-0.10538104,0.013960447,0.18287198,0.12864435,0.080262445,0.19768466,0.1518898,0.013972472,-0.0136817265,-0.102763556,-0.14804739,0.13390672,0.078746215,0.025946703,-0.007989768,0.11136817,0.09099399,0.007875637,-0.036947824,0.017719494,0.034511283,-0.115503475,-0.042884413,0.042517785,0.117811136,0.06098572,0.068887904,0.091780424,0.025155589,0.07206306,0.14455216,0.06172535,0.1534738,0.16805252,0.25165695,0.0691572,0.030145578,-0.23531786,-0.19937468,-0.2192677,-0.1838717,-0.116521046,-0.07806033,-0.19955516,-0.091955654,0.06686441,0.0011462563,-0.023911,0.005126964,-0.15604854,-0.18047978,-0.064601935,0.012583168,-0.056010753,-0.068344764,-0.12943852,-0.112341315,0.024576541,-0.026502082,-0.18793033,-0.0021372968,-0.11541075,-0.06544643,-0.0259511,0.07593064,0.03522303,0.173363,0.1825744,0.11669756,0.004531267,0.06465749
9,-0.23366077,-0.1749477,0.033944894,-0.08016222,-0.09310161,-0.06219087,-0.069175966,-0.16216245,0.0844062,-0.058264237,-0.23596764,-0.16305141,-0.18325944,-0.03766224,0.020235311,0.01567674,-0.24915977,-0.22665691,-0.14131176,-0.11967348,-0.005952465,0.15341616,0.11231052,0.039433233,0.17179132,0.13363236,0.023138834,-0.046466704,-0.137374,-0.19082597,0.1183203,0.0814566,-0.014696121,-0.03940344,0.020468341,0.026097143,-0.0029750147,-0.044454917,-0.01921609,0.00917857,-0.1503771,-0.05238271,0.006241087,0.07385194,-0.007265542,-0.004949963,0.0468425,-0.00049324427,0.04219508,0.100774445,0.043097746,0.10360923,0.12214841,0.1872961,0.03212152,-0.01889545,-0.26425928,-0.20151235,-0.23826452,-0.18730544,-0.12504466,-0.10710742,-0.26038074,-0.14606158,0.023144878,-0.082332335,-0.09025383,-0.069414146,-0.16528742,-0.15445168,-0.09136777,0.004766619,-0.062173408,-0.073832035,-0.1438742,-0.16176057,-0.0028467572,-0.04604355,-0.26042643,-0.097201474,-0.18677703,-0.13190356,-0.07974015,0.038521517,-0.016708016,0.079580344,0.17788054,0.0439074,-0.0077609783,0.0498825
10,-0.23885629,-0.18266954,0.030451257,-0.10806384,-0.07424873,-0.07272067,-0.053542342,-0.16540511,0.12781699,-0.012141135,-0.20387426,-0.20044596,-0.19290292,-0.09767796,0.017916199,-0.04505154,-0.28284168,-0.23024513,-0.14820848,-0.1222615,-0.020301482,0.116236135,0.09077193,0.00076956546,0.13431983,0.10983722,0.032494623,-0.07380521,-0.15698943,-0.21404026,0.09547846,0.078773275,-0.050028417,-0.0632123,-0.068004794,-0.039924473,-0.011148136,-0.04597667,-0.050006956,-0.017200576,-0.16982847,-0.052884597,-0.02985129,0.019427368,-0.0703883,-0.07278447,-0.001710154,-0.028577859,0.010040491,0.052164745,0.023788918,0.04642775,0.06975607,0.108289436,-0.0034274778,-0.062902525,-0.2625868,-0.18349415,-0.24054359,-0.1750932,-0.12088709,-0.12176337,-0.2883855,-0.17740688,-0.004012908,-0.15003748,-0.14216533,-0.13141043,-0.16633044,-0.124098964,-0.10729146,-0.0033778234,-0.06531853,-0.07533953,-0.14240062,-0.1892425,-0.029805372,-0.06009443,-0.31306663,-0.18493074,-0.23788916,-0.18737589,-0.11779124,0.0003764608,-0.057121575,-0.014933268,0.16698557,-0.030996565,-0.018006103,0.029334033
11,-0.22209156,-0.1703004,0.02601575,-0.120013066,-0.04744173,-0.075015806,-0.033587627,-0.15440045,0.16566329,0.03452574,-0.14531027,-0.21770555,-0.18542795,-0.14637193,0.018318016,-0.099631764,-0.28422597,-0.20780082,-0.13930318,-0.11355192,-0.026617479,0.074053414,0.06353402,-0.03234684,0.088327914,0.08271807,0.040842608,-0.09340312,-0.15884542,-0.21552208,0.06640939,0.07024546,-0.07698703,-0.07625384,-0.14508188,-0.100931205,-0.015070394,-0.041578613,-0.07099036,-0.04101426,-0.17252275,-0.044014152,-0.06140023,-0.038862173,-0.1223619,-0.12712184,-0.047179464,-0.055810995,-0.020128086,0.0043992084,0.0061966376,-0.012933448,0.017519305,0.021164143,-0.033078425,-0.09694264,-0.22849211,-0.1471348,-0.22661942,-0.14964014,-0.10565782,-0.11966506,-0.27961057,-0.18204035,-0.014999016,-0.19418238,-0.17599234,-0.17504421,-0.15900879,-0.093527436,-0.11224907,-0.010335319,-0.06539656,-0.07306982,-0.12407115,-0.19115059,-0.053773604,-0.0675721,-0.33691892,-0.2532226,-0.26117036,-0.22581367,-0.13725856,-0.035721052,-0.08326336,-0.10115826,0.15061346,-0.10087824,-0.025123224,0.0057552466
