timepoint,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R,Pallidum_L,Pallidum_R,Thalamus_L,Thalamus_R,Heschl_L,Heschl_R,Temporal_Sup_L,Temporal_Sup_R,Temporal_Pole_Sup_L,Temporal_Pole_Sup_R,Temporal_Mid_L,Temporal_Mid_R,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Temporal_Inf_L,Temporal_Inf_R
0,0.029138645,0.14348136,0.04755022,0.11225923,0.05638498,0.11482755,0.11843528,0.18733093,0.07016967,0.13037343,-0.09838055,0.15671006,0.16174267,0.17731114,0.13095707,0.21689336,-0.022100175,-0.094122164,0.11080127,0.03396682,-0.042163156,-0.112234294,0.18327673,0.013124522,0.020889701,0.094727375,0.034426507,-0.040902942,0.045043994,0.032219507,0.15861923,-0.008714154,0.081792064,0.04624646,0.01773705,-0.054501154,-0.025252676,-0.033671487,0.082609,-0.036387626,-0.0734818,-0.030579483,0.32796636,0.23131727,0.3647016,0.32210788,0.14053841,0.13335158,0.34828296,0.35902426,0.32864034,0.39281082,0.32419887,0.43181115,0.085448205,0.07085816,0.07349209,0.1041411,0.2001806,0.13157593,0.1753483,0.4480584,0.0088911895,0.018849276,0.06726508,0.21402025,0.07241407,0.05799484,0.0014642614,0.13957198,0.19262494,0.10676077,0.20043668,0.13085249,0.20607951,0.26120824,0.21767811,0.13011786,-0.030561047,-0.055539254,-0.10138617,-0.23264936,-0.028008854,-0.13814594,0.039226696,0.015854763,0.06327315,-0.058139335,-0.03295022,-0.021596842
1,-0.00022356906,0.10280672,0.010940835,0.08100152,0.08806836,0.09070711,0.09200058,0.16678716,0.05172328,0.13950528,-0.08677283,0.15533285,0.17426686,0.18608914,0.1324873,0.19376767,-0.04539484,-0.11012054,0.093214124,0.020948535,-0.0853584,-0.095969014,0.18568462,0.020414896,-0.062384963,-0.0065422864,-0.000998009,-0.048577286,0.02862281,0.015677376,0.104317255,-0.04031936,0.043944802,0.015302212,-0.035102405,-0.09339036,-0.061891757,-0.062315617,0.06593863,-0.049719416,-0.104788706,-0.058651112,0.31699136,0.2110962,0.35624236,0.29418808,0.109023,0.095853396,0.32992277,0.3118929,0.29603776,0.3259738,0.278213,0.37594503,0.059964873,0.058510534,0.03598503,0.055294227,0.16874054,0.05292929,0.13814612,0.33278412,0.0026053274,-0.018668445,-0.014440322,0.11374154,0.029793836,0.016584711,-0.065938115,0.06554123,0.17927015,0.07856885,0.18325035,0.123286456,0.17305876,0.24016818,0.20908174,0.09391233,-0.028123457,-0.117633484,-0.13723001,-0.24228314,-0.046050124,-0.1554705,0.011907712,-0.020885592,0.0404696,-0.048438326,-0.031618457,-0.034511454
2,-0.025302475,0.059685525,-0.032175925,0.039741285,0.117562875,0.061762124,0.06269091,0.13239259,0.03423437,0.13561456,-0.06763071,0.14140603,0.16973777,0.17360048,0.118518636,0.14995667,-0.052082233,-0.10707171,0.06650461,0.007867448,-0.12269972,-0.06463564,0.16869645,0.026334444,-0.14791098,-0.108259745,-0.03877487,-0.04976452,0.01145361,-0.0024742456,0.03467057,-0.069856934,0.0043550124,-0.015485614,-0.081385076,-0.11841415,-0.09674304,-0.090285316,0.04071182,-0.059629623,-0.121883035,-0.07624243,0.2782426,0.17492756,0.32096747,0.24317864,0.06989511,0.052199647,0.28931198,0.23587872,0.23690757,0.22382396,0.20606011,0.27465704,0.03193662,0.041846573,0.01279838,0.011390352,0.1285881,-0.02733462,0.09821004,0.19270371,0.005727775,-0.044283196,-0.09421745,0.008106073,-0.0057621486,-0.020242179,-0.120231114,-0.0031797197,0.14852406,0.04246319,0.15086119,0.10682225,0.12422179,0.20329264,0.18480906,0.05272657,-0.019161275,-0.16283691,-0.14862859,-0.2217968,-0.056955393,-0.15568246,-0.008838515,-0.05071276,0.012765173,-0.032210525,-0.028559972,-0.045815647
3,-0.045638524,0.01545609,-0.07772995,-0.007955596,0.13958555,0.029506175,0.030777615,0.08654473,0.018684303,0.11837866,-0.046499044,0.112957545,0.14487866,0.13815367,0.08819163,0.08650783,-0.04601021,-0.091839574,0.0308552,-0.0063205725,-0.15113224,-0.022729678,0.13115527,0.028260589,-0.22386838,-0.19806688,-0.0728596,-0.045266468,-0.005935559,-0.023496903,-0.042013917,-0.094751775,-0.03495381,-0.045059837,-0.115119606,-0.12466487,-0.12614766,-0.114944525,0.0093990555,-0.06557447,-0.12382954,-0.08203751,0.21434553,0.12582414,0.26143068,0.17381485,0.026449531,0.0071553597,0.23204966,0.14019027,0.15756345,0.09896745,0.11775064,0.14039335,0.0039044325,0.023153815,0.003274434,-0.026545245,0.08401656,-0.10103992,0.05467564,0.042248785,0.014683328,-0.058523297,-0.1664499,-0.0947989,-0.03186932,-0.049520165,-0.15617578,-0.059229285,0.10305643,0.0030504905,0.10507793,0.08062868,0.06660956,0.15315102,0.14651439,0.010495506,-0.008462322,-0.18954362,-0.13593055,-0.17626804,-0.060362596,-0.14035742,-0.022632733,-0.07241484,-0.017246934,-0.012237322,-0.024906266,-0.054556802
4,-0.061411075,-0.028939374,-0.12159539,-0.05820507,0.1496926,-0.0044848714,-0.0038007197,0.03234735,0.005194806,0.089409925,-0.0286692,0.06974079,0.09907418,0.08150025,0.04324403,0.0072027547,-0.033050638,-0.072745495,-0.012273367,-0.02245155,-0.1686132,0.023641648,0.07480312,0.02377612,-0.28022924,-0.26597777,-0.09779284,-0.036971867,-0.022844905,-0.047691554,-0.11674676,-0.11302287,-0.07237836,-0.07279676,-0.13309084,-0.11018549,-0.14706366,-0.1340015,-0.024843832,-0.06749506,-0.112001225,-0.07666514,0.13067012,0.06799487,0.1831258,0.092862844,-0.017687246,-0.034594122,0.16530518,0.036206484,0.06633754,-0.033154033,0.024869507,-0.00986076,-0.022122053,0.004691351,0.003928558,-0.058753815,0.038919624,-0.16170993,0.0062797023,-0.10418367,0.024815109,-0.063930765,-0.22715153,-0.18901241,-0.048624277,-0.07016198,-0.17137206,-0.09797576,0.04697406,-0.03524588,0.048896838,0.044680014,0.0076079206,0.093731254,0.09684729,-0.029330963,-0.0010078343,-0.19900598,-0.10323057,-0.11421189,-0.056623418,-0.11283908,-0.030368768,-0.08648329,-0.04614737,0.008745748,-0.021842677,-0.059990413
5,-0.0729005,-0.07240968,-0.15995684,-0.107102744,0.14489509,-0.038657162,-0.041161045,-0.02664846,-0.006992907,0.05177915,-0.01805854,0.01380492,0.034902655,0.008973074,-0.01200789,-0.0815038,-0.019641323,-0.05762954,-0.060003914,-0.040724687,-0.17392747,0.06777093,0.0042989077,0.011337531,-0.30998135,-0.30556744,-0.10950374,-0.027340215,-0.03829992,-0.07391268,-0.18096152,-0.123336144,-0.106592804,-0.09823103,-0.13515568,-0.07633797,-0.15723135,-0.14570129,-0.058466673,-0.065654956,-0.08951549,-0.06241683,0.034621604,0.006319354,0.09361224,0.008140922,-0.05890466,-0.06909061,0.096714325,-0.06392725,-0.027414016,-0.15641154,-0.06119728,-0.15711612,-0.044679657,-0.011607334,0.009588527,-0.085922845,-0.0034096006,-0.20494786,-0.04769109,-0.23388232,0.031684518,-0.063901156,-0.27388477,-0.27079347,-0.05824444,-0.08292615,-0.16629235,-0.117684245,-0.01473895,-0.0688149,-0.013520913,0.00013273282,-0.046083424,0.029996337,0.03924245,-0.06414105,-0.00065701775,-0.19458592,-0.057459056,-0.045994535,-0.046635114,-0.0775466,-0.0337499,-0.09453958,-0.07014186,0.02844377,-0.020311754,-0.061598737
6,-0.08063032,-0.11375059,-0.18973944,-0.151146,0.12416463,-0.071444936,-0.081040785,-0.086730115,-0.019117206,0.009820898,-0.016736109,-0.050815035,-0.042206954,-0.07145251,-0.071211405,-0.17123407,-0.011479435,-0.05240338,-0.10840666,-0.06064094,-0.1669031,0.1034819,-0.07325544,-0.009390276,-0.31012326,-0.3146178,-0.106045336,-0.018932149,-0.051034182,-0.09949628,-0.22735147,-0.124949776,-0.13640751,-0.12082336,-0.12405315,-0.027592545,-0.15552703,-0.14906481,-0.08798496,-0.06056849,-0.060568903,-0.042653218,-0.065019704,-0.054074124,0.0016173898,-0.07238281,-0.093975484,-0.093591206,0.03316886,-0.14928971,-0.114523746,-0.2564475,-0.13091397,-0.28300056,-0.06298042,-0.024471624,0.014281335,-0.10901086,-0.040707592,-0.22906226,-0.10685975,-0.33749276,0.032126684,-0.061828803,-0.30586502,-0.33868992,-0.06431756,-0.08995214,-0.14425285,-0.1198554,-0.07668549,-0.09518021,-0.07708768,-0.050502274,-0.089343734,-0.03271023,-0.022214804,-0.09216433,-0.009390854,-0.181092,-0.007298706,0.017628966,-0.031695444,-0.039416518,-0.035020452,-0.09891957,-0.08572896,0.04535681,-0.020913295,-0.059260607
7,-0.084802,-0.1510906,-0.20878424,-0.18737105,0.08858505,-0.10127497,-0.12241475,-0.14413297,-0.032577354,-0.031512216,-0.024377223,-0.11812225,-0.124302395,-0.15000165,-0.1267675,-0.25248384,-0.012101595,-0.059504207,-0.15272227,-0.08079678,-0.14811516,0.12617095,-0.1492245,-0.03721919,-0.2818219,-0.29513952,-0.08789024,-0.013784282,-0.05949129,-0.12040174,-0.2507423,-0.11766266,-0.16056195,-0.13964279,-0.1046875,0.02907719,-0.14192632,-0.14385362,-0.11031549,-0.05278973,-0.02950194,-0.021145351,-0.15899387,-0.108274825,-0.08403022,-0.1414399,-0.12025456,-0.106780015,-0.019937247,-0.21139635,-0.18695626,-0.32250842,-0.17789343,-0.3725512,-0.076677084,-0.033351585,0.012850421,-0.12838209,-0.071507856,-0.23458856,-0.16901173,-0.40960172,0.025243266,-0.05980702,-0.32341957,-0.3927268,-0.07074009,-0.09408918,-0.11051791,-0.108409435,-0.13366951,-0.11314339,-0.13610533,-0.10334221,-0.11927731,-0.08920889,-0.083022304,-0.112397075,-0.026480757,-0.16330545,0.03856151,0.06754624,-0.013285647,-0.003016189,-0.036294885,-0.101829715,-0.09042131,0.058797833,-0.023698097,-0.05317039
8,-0.08541488,-0.18199685,-0.21605723,-0.2136326,0.041214105,-0.12658079,-0.16329537,-0.19526125,-0.048494067,-0.06728964,-0.038551025,-0.18100543,-0.20206633,-0.21660456,-0.17101496,-0.31601447,-0.022185577,-0.077486806,-0.18802291,-0.09905649,-0.11888279,0.1334828,-0.21466972,-0.069532745,-0.23007676,-0.25270566,-0.057872336,-0.01304193,-0.06205523,-0.13188277,-0.24857426,-0.101774395,-0.17759219,-0.15326823,-0.08307992,0.08538839,-0.11758863,-0.1306505,-0.123227015,-0.042877655,-3.7270867e-05,-0.0012657313,-0.23866458,-0.15211053,-0.15558772,-0.19343288,-0.13602898,-0.10893959,-0.0595074,-0.24556252,-0.23878472,-0.3490469,-0.19965005,-0.41631177,-0.08574977,-0.03847612,0.0019273679,-0.14359324,-0.095137924,-0.22408482,-0.23004934,-0.4489925,0.012727169,-0.058059588,-0.32785872,-0.43378267,-0.08067603,-0.09814433,-0.07147219,-0.0888993,-0.18110342,-0.12260491,-0.1847757,-0.15342389,-0.13523136,-0.13513231,-0.13855442,-0.12441699,-0.04869127,-0.14518273,0.07281583,0.097549126,0.0070796194,0.027958639,-0.039182104,-0.10484042,-0.083183266,0.06881841,-0.028209044,-0.04388315
9,-0.08210784,-0.20343639,-0.21151827,-0.22852774,-0.01340823,-0.1458988,-0.20077823,-0.23682031,-0.06733012,-0.09323958,-0.05520785,-0.232102,-0.26613462,-0.26247174,-0.19749597,-0.35418066,-0.039341442,-0.101185404,-0.20983204,-0.11279571,-0.08113412,0.1257167,-0.26168963,-0.102559246,-0.16256516,-0.19523421,-0.02067617,-0.016696688,-0.057296615,-0.1293279,-0.22105902,-0.07801263,-0.18588848,-0.15983975,-0.06503176,0.13305345,-0.08455497,-0.11052866,-0.12550949,-0.031251356,0.025424901,0.014615042,-0.2967787,-0.18239616,-0.2072222,-0.22478077,-0.14050332,-0.10162995,-0.08468519,-0.25103006,-0.2665338,-0.33606213,-0.19755282,-0.41151407,-0.090245,-0.040629454,-0.01915091,-0.15310515,-0.111226864,-0.2010076,-0.28430474,-0.45805898,-0.0013731561,-0.05466622,-0.32090133,-0.4627015,-0.095665,-0.104057245,-0.033345923,-0.06725867,-0.21545535,-0.12427786,-0.21784122,-0.19526504,-0.13868251,-0.1674823,-0.18435852,-0.1281434,-0.07067158,-0.12878767,0.090901785,0.105444655,0.027979696,0.05127628,-0.044458065,-0.10840614,-0.064892694,0.07595115,-0.033471428,-0.032150615
10,-0.07438274,-0.21218753,-0.1961104,-0.23149738,-0.06984908,-0.15792778,-0.23124218,-0.26598302,-0.0886918,-0.1062861,-0.06953632,-0.2648273,-0.3084426,-0.2814081,-0.20203109,-0.36207116,-0.05856173,-0.12266701,-0.21478064,-0.119337276,-0.037331372,0.10556005,-0.28467864,-0.13201138,-0.08849417,-0.13168551,0.017884616,-0.02362323,-0.04431777,-0.10922542,-0.17114535,-0.04758995,-0.1838209,-0.15725705,-0.055090073,0.1650948,-0.04562925,-0.085027665,-0.117179714,-0.018265806,0.045968775,0.025473904,-0.32833466,-0.19725499,-0.23568045,-0.23431133,-0.13394232,-0.08740709,-0.09683943,-0.23102775,-0.26955697,-0.2889842,-0.17634708,-0.3623553,-0.09019194,-0.04098465,-0.048223097,-0.15455227,-0.119597636,-0.1691812,-0.32523376,-0.44186774,-0.011412506,-0.045886643,-0.3045007,-0.47974166,-0.115124844,-0.112442665,-0.0012479634,-0.048702355,-0.23437844,-0.11926973,-0.23126401,-0.2235632,-0.13258871,-0.18487222,-0.21653447,-0.12362535,-0.08603119,-0.11413123,0.09163804,0.09312794,0.048130445,0.06622831,-0.051989,-0.11185225,-0.038241196,0.08079522,-0.03824719,-0.018911976
